timestamp,NETWORK-VIEWER (mebibytes),go.d.plugin (mebibytes),sd-unit.plugin (mebibytes),tc-qos-helper (mebibytes),apps.plugin (mebibytes),debugfs.plugin (mebibytes),containerd-shim-runc-v2 (mebibytes),sd-pam (mebibytes),dockerd (mebibytes),unattended-upgrades (mebibytes),sshd (mebibytes),agetty (mebibytes),containerd (mebibytes),rsyslogd (mebibytes),networkd-dispatcher (mebibytes),snapfuse (mebibytes),netdata (mebibytes),packagemanager (mebibytes),cron (mebibytes),kernel (mebibytes),systemd-journald (mebibytes),systemd (mebibytes),desktop (mebibytes),polkitd (mebibytes),anomaly%,annotations
1755920229000,6.4375,104.45312,5.671875,3.316406,8.007812,3.808594,12.914062,1.3203125,115.21094,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,261.7461,60.00391,2.699219,4538.445,24.16797,48.21875,4.398438,4.167969,-,-
1755920230000,6.4375,104.45312,5.671875,3.316406,8.007812,3.808594,12.914062,1.3203125,115.21094,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,261.7461,60.00391,2.699219,4711.602,24.16797,48.21875,4.398438,4.167969,-,-
1755920231000,6.4375,104.45312,5.671875,3.316406,8.007812,3.808594,12.914062,1.3203125,115.21094,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,261.7461,60.00391,2.699219,4744.668,24.16797,48.21875,4.398438,4.167969,-,-
1755920232000,6.4375,104.45312,5.671875,3.316406,8.007812,3.808594,12.914062,1.3203125,115.21094,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,261.7461,60.00391,2.699219,4626.02,24.16797,48.21875,4.398438,4.167969,-,-
1755920233000,6.4375,104.45312,5.671875,3.316406,8.007812,3.808594,12.914062,1.3203125,115.21094,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,261.7461,60.00391,2.699219,25.88281,24.16797,72.83594,4.398438,4.167969,-,-
1755920234000,6.4375,104.45312,5.671875,3.316406,8.007812,3.808594,12.914062,1.3203125,115.21094,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,261.7461,60.00391,2.699219,25.88281,24.16797,72.83594,4.398438,4.167969,-,-
1755920235000,6.4375,104.45312,5.671875,3.316406,8.007812,3.808594,12.914062,1.3203125,115.21094,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,261.7461,60.00391,2.699219,25.88281,24.16797,72.83594,4.398438,4.167969,-,-
1755920236000,6.4375,104.45312,5.671875,3.316406,8.007812,3.808594,12.914062,1.3203125,115.21094,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,261.7461,60.00391,2.699219,25.88281,24.16797,72.83594,4.398438,4.167969,-,-
1755920237000,6.4375,104.45312,5.671875,3.316406,8.007812,3.808594,12.914062,1.3203125,115.21094,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,261.7461,60.00391,2.699219,25.88281,24.16797,48.21875,4.398438,4.167969,-,-
1755920238000,6.4375,104.45312,5.671875,3.316406,8.007812,3.808594,12.914062,1.3203125,115.21094,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,261.7461,60.00391,2.699219,25.88281,24.16797,48.21875,4.398438,4.167969,-,-
1755920239000,6.4375,104.45312,5.671875,3.316406,8.007812,3.808594,12.914062,1.3203125,115.21094,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,261.7461,60.00391,2.699219,25.88281,24.16797,48.21875,4.398438,4.167969,-,-
1755920240000,6.4375,104.45312,5.671875,3.316406,8.007812,3.808594,12.914062,1.3203125,115.21094,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,261.7461,60.00391,2.699219,25.88281,24.16797,48.21875,4.398438,4.167969,-,-
1755920241000,6.4375,104.45312,5.671875,3.316406,8.007812,3.808594,12.914062,1.3203125,115.21094,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,261.7461,60.00391,2.699219,25.88281,24.16797,48.21875,4.398438,4.167969,-,-
1755920242000,6.4375,104.45312,5.671875,3.316406,8.007812,3.808594,12.914062,1.3203125,115.21094,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,261.7461,60.00391,2.699219,25.88281,24.16797,61.02344,4.398438,4.167969,-,-
1755920243000,6.4375,104.45312,5.671875,3.316406,8.007812,3.808594,12.914062,1.3203125,115.21094,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,261.7461,60.00391,2.699219,25.88281,24.16797,61.02344,4.398438,4.167969,-,-
1755920244000,6.4375,104.45312,5.671875,3.316406,8.007812,3.808594,12.914062,1.3203125,115.21094,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,261.7461,60.00391,2.699219,25.88281,24.16797,61.02344,4.398438,4.167969,-,-
1755920245000,6.4375,104.45312,5.671875,3.316406,8.007812,3.808594,12.914062,1.3203125,115.21094,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,261.7461,60.00391,2.699219,25.88281,24.16797,48.21875,4.398438,4.167969,-,-
1755920246000,6.4375,104.45312,5.671875,3.316406,8.007812,3.808594,12.847656,1.3203125,115.21094,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,261.7461,60.00391,2.699219,25.88281,24.16797,48.21875,4.398438,4.167969,-,-
1755920247000,6.4375,104.45312,5.671875,3.316406,8.007812,3.808594,12.847656,1.3203125,115.21094,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,261.7461,60.00391,2.699219,25.88281,24.16797,48.21875,4.398438,4.167969,-,-
1755920248000,6.4375,104.45312,5.671875,3.316406,8.007812,3.808594,12.847656,1.3203125,115.21094,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,261.7461,60.00391,2.699219,25.88281,24.16797,48.21875,4.398438,4.167969,-,-
1755920249000,-,-,-,3.316406,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1755920250000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1755920251000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1755920252000,6.4375,104.45312,5.671875,3.316406,8.007812,3.808594,12.847656,1.3203125,115.21094,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,261.7461,60.00391,2.699219,25.88281,24.16797,48.21875,4.398438,4.167969,-,-
1755920253000,6.4375,104.45312,5.671875,3.316406,8.007812,3.808594,12.847656,1.3203125,115.21094,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,261.7461,60.00391,2.699219,25.88281,24.16797,48.21875,4.398438,4.167969,-,-
1755920254000,6.4375,104.45312,5.671875,3.316406,8.007812,3.808594,12.847656,1.3203125,115.21094,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,261.7461,60.00391,2.699219,25.88281,24.16797,48.21875,4.398438,4.167969,-,-
1755920255000,6.4375,104.45312,5.671875,3.316406,8.007812,3.808594,12.847656,1.3203125,115.21094,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,261.7461,60.00391,2.699219,25.88281,24.16797,48.21875,4.398438,4.167969,-,-
1755920256000,6.4375,104.45312,5.671875,3.316406,8.007812,3.808594,12.847656,1.3203125,115.21094,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,261.7461,60.00391,2.699219,25.88281,24.16797,48.21875,4.398438,4.167969,-,-
1755920257000,6.4375,104.45312,5.671875,3.316406,8.007812,3.808594,12.847656,1.3203125,115.21094,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,261.7461,60.00391,2.699219,25.88281,24.16797,48.21875,4.398438,4.167969,-,-
1755920258000,6.4375,104.45312,5.671875,3.316406,8.007812,3.808594,12.847656,1.3203125,115.21094,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,261.7461,60.00391,2.699219,25.88281,24.16797,48.21875,4.398438,4.167969,-,-
1755920259000,6.4375,104.45312,5.671875,3.316406,8.007812,3.808594,12.847656,1.3203125,115.21094,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,261.7461,60.00391,2.699219,25.88281,24.16797,48.21875,4.398438,4.167969,-,-
1755920260000,6.4375,104.45312,5.671875,3.320312,8.007812,3.808594,12.847656,1.3203125,115.21094,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,261.7461,60.00391,2.699219,25.88281,24.16797,48.21875,4.398438,4.167969,-,-
1755920261000,6.4375,104.45312,5.671875,3.320312,8.007812,3.808594,12.847656,1.3203125,115.21094,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,261.7461,60.00391,2.699219,25.88281,24.16797,48.21875,4.398438,4.167969,-,-
1755920262000,6.4375,104.45312,5.671875,3.320312,8.007812,3.808594,12.847656,1.3203125,115.21094,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,261.7461,60.00391,2.699219,25.88281,24.16797,48.21875,4.398438,4.167969,-,-
1755920263000,6.4375,104.45312,5.671875,3.320312,8.007812,3.808594,12.847656,1.3203125,115.09766,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,261.7461,60.00391,2.699219,25.88281,24.16797,48.21875,4.398438,4.167969,-,-
1755920264000,6.4375,104.45312,5.671875,3.320312,8.007812,3.808594,12.847656,1.3203125,115.09766,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,261.7461,60.00391,2.699219,25.88281,24.16797,48.21875,4.398438,4.167969,-,-
1755920265000,6.4375,104.45312,5.671875,3.320312,8.007812,3.808594,12.847656,1.3203125,115.09766,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,261.7461,60.00391,2.699219,25.88281,24.16797,48.21875,4.398438,4.167969,-,-
1755920266000,6.4375,104.45312,5.671875,3.320312,8.007812,3.808594,12.847656,1.3203125,115.09766,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,261.7461,60.00391,2.699219,25.88281,24.16797,48.21875,4.398438,4.167969,-,-
1755920267000,6.4375,104.45312,5.671875,3.320312,8.007812,3.808594,12.847656,1.3203125,115.09766,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,261.7461,60.00391,2.699219,25.88281,24.16797,48.21875,4.398438,4.167969,-,-
1755920268000,6.4375,104.45312,5.671875,3.320312,8.007812,3.808594,12.847656,1.3203125,115.09766,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,261.7461,60.00391,2.699219,25.88281,24.16797,48.21875,4.398438,4.167969,-,-
1755920269000,6.4375,104.45312,5.671875,3.320312,8.007812,3.808594,12.847656,1.3203125,115.09766,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,261.7461,60.00391,2.699219,25.88281,24.16797,48.21875,4.398438,4.167969,-,-
1755920270000,6.4375,104.45312,5.671875,3.320312,8.007812,3.808594,12.847656,1.3203125,115.09766,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,261.7461,60.00391,2.699219,25.88281,24.16797,48.21875,4.398438,4.167969,-,-
1755920271000,6.4375,104.45312,5.671875,3.320312,8.007812,3.808594,12.847656,1.3203125,115.09766,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,261.7461,60.00391,2.699219,25.88281,24.16797,48.21875,4.398438,4.167969,-,-
1755920272000,6.4375,104.45312,5.671875,3.320312,8.007812,3.808594,12.847656,1.3203125,115.09766,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,261.7461,60.00391,2.699219,25.88281,24.16797,48.21875,4.398438,4.167969,-,-
1755920273000,6.4375,104.45312,5.671875,3.320312,8.007812,3.808594,12.847656,1.3203125,115.09766,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,261.7461,60.00391,2.699219,25.88281,24.16797,48.21875,4.398438,4.167969,-,-
1755920274000,6.4375,104.45312,5.671875,3.320312,8.007812,3.808594,12.847656,1.3203125,115.09766,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,258.6992,60.00391,2.699219,25.88281,24.16797,48.21875,4.398438,4.167969,-,-
1755920275000,6.4375,104.45312,5.671875,3.320312,8.007812,3.808594,12.847656,1.3203125,115.09766,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,261.9375,60.00391,2.699219,25.88281,24.16797,48.21875,4.398438,4.167969,-,-
1755920276000,6.4375,104.45312,5.671875,3.320312,8.007812,3.808594,12.847656,1.3203125,115.09766,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,262,60.00391,2.699219,25.88281,24.16797,48.21875,4.398438,4.167969,-,-
1755920277000,6.4375,104.45312,5.671875,3.320312,8.007812,3.808594,12.847656,1.3203125,115.09766,15.890625,8.347656,2.179688,53.10547,4.714844,15.992188,32.37891,262.5898,60.00391,2.699219,25.88281,24.16797,55.125,4.398438,4.167969,-,-
