timestamp,avail (mebibytes),anomaly%,annotations
1755920229000,1548.5781,-,-
1755920230000,1901.68,-,-
1755920231000,1896.48,-,-
1755920232000,1859.887,-,-
1755920233000,2713.945,-,-
1755920234000,6461.977,-,-
1755920235000,6462.223,-,-
1755920236000,6460.848,-,-
1755920237000,6461.961,-,-
1755920238000,6462.855,-,-
1755920239000,6462.703,-,-
1755920240000,6333.809,-,-
1755920241000,6461.383,-,-
1755920242000,6459.961,-,-
1755920243000,6460,-,-
1755920244000,6459.609,-,-
1755920245000,6460.633,-,-
1755920246000,6459.75,-,-
1755920247000,6461.227,-,-
1755920248000,6462.285,-,-
1755920249000,-,-,-
1755920250000,-,-,-
1755920251000,-,-,-
1755920252000,6462.117,-,-
1755920253000,6461.945,-,-
1755920254000,6463.516,-,-
1755920255000,6464.629,-,-
1755920256000,6462.766,-,-
1755920257000,6463.293,-,-
1755920258000,6464.219,-,-
1755920259000,6464.062,-,-
1755920260000,6460.535,-,-
1755920261000,6460.371,-,-
1755920262000,6461.676,-,-
1755920263000,6461.012,-,-
1755920264000,6461.562,-,-
1755920265000,6462.602,-,-
1755920266000,6462.34,-,-
1755920267000,6462.734,-,-
1755920268000,6463.762,-,-
1755920269000,6462.883,-,-
1755920270000,6463.484,-,-
1755920271000,6463.551,-,-
1755920272000,6463.316,-,-
1755920273000,6463.43,-,-
1755920274000,6463.992,-,-
1755920275000,6461.074,-,-
1755920276000,6459.062,-,-
1755920277000,6461.535,-,-
1755920278000,6455.836,-,-
1755920279000,6456.289,-,-
1755920280000,6456.301,-,-
1755920281000,6457.336,-,-
1755920282000,6456.422,-,-
1755920283000,6457.527,-,-
1755920284000,6457.426,-,-
1755920285000,-,-,-
1755920286000,-,-,-
1755920287000,-,-,-
1755920288000,6456.744,-,-
1755920289000,6456.055,-,-
1755920290000,6457.223,-,-
1755920291000,6457.055,-,-
1755920292000,6457.453,-,-
1755920293000,6456.418,-,-
1755920294000,6456.578,-,-
1755920295000,6456.664,-,-
1755920296000,6457.648,-,-
1755920297000,6457.207,-,-
