timestamp,Committed_AS (mebibytes),anomaly%,annotations
1756875522000,7480.1365,-,-
1756875524000,7480.1675,-,-
1756875526000,7480.1675,-,-
1756875528000,7480.23,-,-
1756875530000,7480.1675,-,-
1756875532000,7480.105,-,-
1756875534000,7480.1675,-,-
1756875536000,7480.105,-,-
1756875538000,7480.1675,-,-
1756875540000,7480.105,-,-
1756875542000,7480.1675,-,-
1756875544000,7480.105,-,-
1756875546000,7480.105,-,-
1756875548000,7480.105,-,-
1756875550000,7480.1995,-,-
1756875552000,7480.168,-,-
1756875554000,7480.324,-,-
1756875556000,7480.199,-,-
1756875558000,7480.199,-,-
1756875560000,7480.3035,-,-
1756875562000,7480.2615,-,-
1756875564000,7480.2615,-,-
1756875566000,7480.199,-,-
1756875568000,7480.199,-,-
1756875570000,7480.324,-,-
1756875572000,7480.199,-,-
1756875574000,7480.2615,-,-
1756875576000,7480.2615,-,-
1756875578000,7480.199,-,-
1756875580000,7480.2615,-,-
1756875582000,7480.2615,-,-
1756875584000,7480.199,-,-
1756875586000,7480.199,-,-
1756875588000,7480.2615,-,-
1756875590000,7480.199,-,-
1756875592000,7480.2615,-,-
1756875594000,7480.199,-,-
1756875596000,7491.18,-,-
1756875598000,7488.002,-,-
1756875600000,7484.4025,-,-
1756875602000,7484.16,-,-
1756875604000,7483.8555,-,-
1756875606000,7483.129,-,-
1756875608000,7483.129,-,-
1756875610000,7483.129,-,-
1756875612000,7484.2325,-,-
1756875614000,7484.4845,-,-
1756875616000,7483.758,-,-
1756875618000,7486.9685,-,-
1756875620000,7485.9375,-,-
1756875622000,7484.969,-,-
1756875624000,6950.7695,-,-
1756875626000,6072.9705,-,-
1756875628000,3236.6465,-,-
1756875630000,3348.166,-,-
1756875632000,4423.1835,-,-
1756875634000,5530.135,-,-
1756875636000,5633.0545,-,-
1756875638000,5807.848,-,-
1756875640000,6082.377,-,-
1756875642000,6330.6445,-,-
1756875644000,6331.6645,-,-
1756875646000,6430.637,-,-
1756875648000,6688.451,-,-
1756875650000,6798.2445,-,-
1756875652000,6996.664,-,-
1756875654000,7102.816,-,-
1756875656000,7102.816,-,-
1756875658000,7763.34,-,-
1756875660000,7763.34,-,-
1756875662000,7063.754,-,-
1756875664000,7179.9765,-,-
1756875666000,7365.379,-,-
1756875668000,7365.582,-,-
1756875670000,7365.785,-,-
1756875672000,7365.785,-,-
1756875674000,7365.42,-,-
1756875676000,7365.785,-,-
1756875678000,7365.785,-,-
1756875680000,7365.785,-,-
1756875682000,7365.785,-,-
1756875684000,7370.041,-,-
1756875686000,7395.75,-,-
1756875688000,7456.6075,-,-
1756875690000,7377.918,-,-
1756875692000,7376.426,-,-
1756875694000,7369.148,-,-
1756875696000,7476.8325,-,-
1756875698000,7555.4475,-,-
1756875700000,7630.281,-,-
1756875702000,7625.1465,-,-
1756875704000,7630.8245,-,-
1756875706000,7634.406,-,-
1756875708000,7636.1095,-,-
1756875710000,7631.1505,-,-
1756875712000,7626.1135,-,-
1756875714000,7633.1155,-,-
1756875716000,7642.668,-,-
1756875718000,7636.525,-,-
1756875720000,7628.875,-,-
1756875722000,7629,-,-
1756875724000,7648.4765,-,-
1756875726000,7649.441,-,-
1756875728000,7658.0545,-,-
1756875730000,7646.5665,-,-
1756875732000,7647.2385,-,-
1756875734000,7651.031,-,-
1756875736000,7656.4335,-,-
1756875738000,7657.506,-,-
1756875740000,7647.742,-,-
1756875742000,7648.7735,-,-
1756875744000,7677.3005,-,-
1756875746000,7709.8435,-,-
1756875748000,7708.8125,-,-
1756875750000,7697.867,-,-
1756875752000,7699.0155,-,-
1756875754000,7703.639,-,-
1756875756000,7711.123,-,-
1756875758000,7712.0295,-,-
1756875760000,7704.9,-,-
1756875762000,7698.3395,-,-
1756875764000,7699.066,-,-
1756875766000,7699.246,-,-
1756875768000,7698.5195,-,-
1756875770000,7698.277,-,-
1756875772000,7698.277,-,-
1756875774000,7698.277,-,-
1756875776000,7698.277,-,-
1756875778000,7698.277,-,-
1756875780000,7698.277,-,-
1756875782000,7698.277,-,-
1756875784000,7698.277,-,-
1756875786000,7699.066,-,-
1756875788000,7699.004,-,-
1756875790000,7698.277,-,-
1756875792000,7698.277,-,-
1756875794000,7701.8885,-,-
1756875796000,7705.5,-,-
1756875798000,7707.3515,-,-
1756875800000,7702.662,-,-
1756875802000,7643.789,-,-
1756875804000,7610.479,-,-
1756875806000,7701.473,-,-
1756875808000,7696.719,-,-
1756875810000,7696.719,-,-
1756875812000,7703.7675,-,-
1756875814000,7700.371,-,-
1756875816000,7696.9255,-,-
1756875818000,7697.2715,-,-
1756875820000,7697.3985,-,-
1756875822000,7701.381,-,-
1756875824000,7708.7105,-,-
1756875826000,7709.867,-,-
1756875828000,7710.3515,-,-
1756875830000,7699.281,-,-
1756875832000,7699.3435,-,-
1756875834000,7706.5545,-,-
1756875836000,7713.9535,-,-
1756875838000,7708.422,-,-
1756875840000,7700.375,-,-
1756875842000,7699.5,-,-
1756875844000,7702.838,-,-
1756875846000,7707.996,-,-
1756875848000,7703.8845,-,-
1756875850000,7699.5955,-,-
1756875852000,7699.418,-,-
1756875854000,7703.756,-,-
1756875856000,7708.875,-,-
1756875858000,7708.731,-,-
1756875860000,7702.203,-,-
1756875862000,7701.961,-,-
1756875864000,7704.211,-,-
1756875866000,7709.434,-,-
1756875868000,7710.348,-,-
1756875870000,7701.5195,-,-
1756875872000,7700.551,-,-
1756875874000,7704.2245,-,-
1756875876000,7709.867,-,-
1756875878000,7713.336,-,-
1756875880000,7703.535,-,-
1756875882000,7702.5665,-,-
1756875884000,7701.66,-,-
1756875886000,7701.66,-,-
1756875888000,7701.66,-,-
1756875890000,7700.796,-,-
1756875892000,7700.629,-,-
1756875894000,7702.629,-,-
1756875896000,7704.082,-,-
1756875898000,7703.051,-,-
1756875900000,7702.1445,-,-
1756875902000,7701.113,-,-
1756875904000,7588.8675,-,-
1756875906000,7594.371,-,-
1756875908000,7588.141,-,-
1756875910000,7582.637,-,-
1756875912000,7586.1445,-,-
1756875914000,7589.652,-,-
1756875916000,7586.113,-,-
1756875918000,7582.598,-,-
1756875920000,7582.598,-,-
1756875922000,7582.598,-,-
1756875924000,7582.598,-,-
1756875926000,7582.598,-,-
1756875928000,7621.215,-,-
1756875930000,7700.363,-,-
1756875932000,7700.379,-,-
1756875934000,7700.395,-,-
1756875936000,7700.395,-,-
1756875938000,7700.395,-,-
1756875940000,7700.457,-,-
1756875942000,7700.4885,-,-
1756875944000,7701.793,-,-
1756875946000,7700.8245,-,-
1756875948000,7701.3085,-,-
1756875950000,7700.8245,-,-
1756875952000,7700.52,-,-
1756875954000,7701.6715,-,-
1756875956000,7701.913,-,-
1756875958000,7701.703,-,-
1756875960000,7701.703,-,-
1756875962000,7701.703,-,-
1756875964000,7701.945,-,-
1756875966000,7702.672,-,-
1756875968000,7703.734,-,-
1756875970000,7702.797,-,-
1756875972000,7701.703,-,-
1756875974000,7701.461,-,-
1756875976000,7701.461,-,-
1756875978000,7701.461,-,-
1756875980000,7701.461,-,-
1756875982000,7701.461,-,-
1756875984000,7701.461,-,-
1756875986000,7701.703,-,-
1756875988000,7701.703,-,-
1756875990000,7701.6275,-,-
1756875992000,7702.7345,-,-
1756875994000,7701.7655,-,-
1756875996000,7702.25,-,-
1756875998000,7702.492,-,-
1756876000000,7702.672,-,-
1756876002000,7701.945,-,-
1756876004000,7701.9455,-,-
1756876006000,7702.25,-,-
1756876008000,7702.25,-,-
1756876010000,7702.0075,-,-
1756876012000,7702.492,-,-
1756876014000,7703.2185,-,-
1756876016000,7702.9765,-,-
1756876018000,7702.4925,-,-
1756876020000,7702.25,-,-
1756876022000,7702.1145,-,-
1756876024000,7702.7345,-,-
1756876026000,7702.7345,-,-
1756876028000,7702.7345,-,-
1756876030000,7703.2185,-,-
1756876032000,7702.25,-,-
1756876034000,7702.7345,-,-
1756876036000,7702.25,-,-
1756876038000,7702.7345,-,-
1756876040000,7701.758,-,-
1756876042000,7703.1875,-,-
1756876044000,7702.5235,-,-
1756876046000,7702.0395,-,-
1756876048000,7701.492,-,-
1756876050000,7592.7205,-,-
1756876052000,7592.5585,-,-
1756876054000,7583.852,-,-
1756876056000,7583.852,-,-
1756876058000,7583.852,-,-
1756876060000,7590.867,-,-
1756876062000,7587.3595,-,-
1756876064000,7583.852,-,-
1756876066000,7583.852,-,-
1756876068000,7583.852,-,-
1756876070000,7584.094,-,-
1756876072000,7583.852,-,-
1756876074000,7584.094,-,-
1756876076000,7583.852,-,-
1756876078000,7583.852,-,-
1756876080000,7583.852,-,-
1756876082000,7583.852,-,-
1756876084000,7583.852,-,-
1756876086000,7583.852,-,-
1756876088000,7583.852,-,-
1756876090000,7583.852,-,-
1756876092000,7583.852,-,-
1756876094000,7583.852,-,-
1756876096000,7583.852,-,-
1756876098000,7583.852,-,-
1756876100000,7583.852,-,-
1756876102000,7583.852,-,-
1756876104000,7583.852,-,-
1756876106000,7583.852,-,-
1756876108000,7583.852,-,-
1756876110000,7583.852,-,-
1756876112000,7583.852,-,-
1756876114000,7583.852,-,-
1756876116000,7583.852,-,-
1756876118000,7583.852,-,-
1756876120000,7583.852,-,-
1756876122000,7583.852,-,-
