timestamp,softirq (percent),user (percent),system (percent),nice (percent),iowait (percent),anomaly%,annotations
1756875522000,0.0227376,0.0909711,0.1137087,0,0,-,-
1756875524000,0.0909607,0.136436,0.2047005,0,0,-,-
1756875526000,0,0.0455269,0.0910436,0,0.0455269,-,-
1756875528000,0,0.0079324,0.0852168,0,0,-,-
1756875530000,0.0803084,0.0709537,0.3454138,0,0,-,-
1756875532000,0.0227272,0.1818802,0.0227583,0,0.0227272,-,-
1756875534000,0,0.1364877,0.0454752,0,0,-,-
1756875536000,0.0454545,0.2272211,0.2272624,0,0,-,-
1756875538000,0.0453514,0.1816125,0.0908062,0,0,-,-
1756875540000,0.1815706,0.1589981,0.1589568,0,0.0226963,-,-
1756875542000,0,0.2275314,0.0455062,0,0,-,-
1756875544000,0,0.1136674,0.1136261,0,0,-,-
1756875546000,0.2041742,0.2270665,0.1815294,0,0.022686,-,-
1756875548000,0,0.181777,0.1135744,0,0,-,-
1756875550000,0,0.1819319,0,0,0.022748,-,-
1756875552000,0.0910125,0.1820354,0.1592667,0,0,-,-
1756875554000,0,0.1364878,0.0682438,0,0.0227686,-,-
1756875556000,0,0.0682438,0.0910228,0,0.022748,-,-
1756875558000,0.1362297,0.4533307,0.1816636,0,0,-,-
1756875560000,0,0.2124294,0.0602979,0,0.0074217,-,-
1756875562000,0,0.1724934,0.085567,0,0.0227272,-,-
1756875564000,0.022779,0.1594325,0.205001,0,0,-,-
1756875566000,0.022748,0.0682542,0.0682645,0,0,-,-
1756875568000,0.0227583,0.1364257,0.1591529,0,0.0227583,-,-
1756875570000,0.0455788,0.091137,0.1595052,0,0,-,-
1756875572000,0.0227376,0.181963,0.0682128,0,0,-,-
1756875574000,0.0227998,0.0911578,0.1823986,0,0.022779,-,-
1756875576000,0,0.0683579,0.0227894,0,0,-,-
1756875578000,0,0.1365706,0,0,0,-,-
1756875580000,0.0912409,0.1139888,0.1140095,0,0,-,-
1756875582000,0,0.0455373,0.068306,0,0.0227686,-,-
1756875584000,0.0455062,0.0910021,0.0455166,0,0,-,-
1756875586000,0.1815706,0.227108,0.1134816,0,0,-,-
1756875588000,0.0227686,0.1364878,0.0227376,0,0.0227686,-,-
1756875590000,0.0910228,0.1137708,0.0910228,0,0,-,-
1756875592000,0.1134816,0.090868,0.2271287,0,0.022779,-,-
1756875594000,0,0.1685232,0.0910321,0,0.0147643,-,-
1756875596000,0.0544524,0.4673756,0.1769938,0,0.015878,-,-
1756875598000,0.1592356,0.0682854,0.1364877,0,0,-,-
1756875600000,0,0.0683267,0.0455477,0,0.0227686,-,-
1756875602000,0.1594533,0.0455685,0.4555808,0.0911161,0.1138952,-,-
1756875604000,0,0.0682645,0.0682542,0,0,-,-
1756875606000,0,0.0683164,0.0455374,0,0,-,-
1756875608000,0.068306,0.0910954,0.1138434,0,0.0455374,-,-
1756875610000,0,0.0454959,0.068275,0,0,-,-
1756875612000,0.0455788,0.1366536,0.022748,0,0,-,-
1756875614000,0.1136364,0.1136984,0.2273038,0,0.0227583,-,-
1756875616000,0,0.1138122,0,0,0,-,-
1756875618000,0.0226963,0.2952384,0.1592466,0,0,-,-
1756875620000,0.022748,0.1139056,0.2733487,0,0.0227894,-,-
1756875622000,0,0.1594325,0.022779,0,0.022779,-,-
1756875624000,0.0455374,4.0752015,0.4778314,0,0,-,-
1756875626000,0.1604617,4.4831965,0.4174036,0,0.01608,-,-
1756875628000,0.3252757,2.4860969,0.97029,0,0.0454132,-,-
1756875630000,0.3203661,7.233291,2.849957,0,0.5916121,-,-
