timestamp,load1 (threads),load5 (threads),load15 (threads),anomaly%,annotations
1756875522000,0.01,0.01,0,-,-
1756875524000,0.01,0.01,0,-,-
1756875526000,0.01,0.01,0,-,-
1756875528000,0.01,0.01,0,-,-
1756875530000,0.01,0.01,0,-,-
1756875532000,0.01,0.01,0,-,-
1756875534000,0.01,0.01,0,-,-
1756875536000,0.01,0.01,0,-,-
1756875538000,0.01,0.01,0,-,-
1756875540000,0.01,0.01,0,-,-
1756875542000,0.01,0.01,0,-,-
1756875544000,0.01,0.01,0,-,-
1756875546000,0.01,0.01,0,-,-
1756875548000,0.01,0.01,0,-,-
1756875550000,0.01,0.01,0,-,-
1756875552000,0.01,0.01,0,-,-
1756875554000,0.01,0.01,0,-,-
1756875556000,0.01,0.01,0,-,-
1756875558000,0.01,0.01,0,-,-
1756875560000,0.01,0.01,0,-,-
1756875562000,0.01,0.01,0,-,-
1756875564000,0.01,0.01,0,-,-
1756875566000,0.008,0.01,0,-,-
1756875568000,0.004,0.01,0,-,-
1756875570000,0,0.01,0,-,-
1756875572000,0,0.01,0,-,-
1756875574000,0,0.01,0,-,-
1756875576000,0,0.01,0,-,-
1756875578000,0,0.01,0,-,-
1756875580000,0,0.01,0,-,-
1756875582000,0,0.01,0,-,-
1756875584000,0,0.01,0,-,-
1756875586000,0,0.01,0,-,-
1756875588000,0,0.01,0,-,-
1756875590000,0,0.01,0,-,-
1756875592000,0.032,0.014,0.004,-,-
1756875594000,0.064,0.018,0.008,-,-
1756875596000,0.08,0.02,0.008,-,-
1756875598000,0.08,0.02,0.004,-,-
1756875600000,0.08,0.02,0,-,-
1756875602000,0.076,0.02,0,-,-
1756875604000,0.072,0.02,0,-,-
1756875606000,0.068,0.02,0,-,-
1756875608000,0.064,0.02,0,-,-
1756875610000,0.06,0.02,0,-,-
1756875612000,0.06,0.02,0,-,-
1756875614000,0.06,0.02,0,-,-
1756875616000,0.06,0.02,0,-,-
1756875618000,0.06,0.02,0,-,-
1756875620000,0.06,0.02,0,-,-
1756875622000,0.056,0.02,0,-,-
1756875624000,0.052,0.02,0,-,-
1756875626000,0.05,0.02,0,-,-
1756875628000,0.05,0.02,0,-,-
1756875630000,0.05,0.02,0,-,-
1756875632000,0.11,0.032,0.004,-,-
1756875634000,0.17,0.044,0.008,-,-
1756875636000,0.214,0.054,0.012,-,-
1756875638000,0.242,0.062,0.016,-,-
1756875640000,0.27,0.07,0.02,-,-
1756875642000,0.294,0.074,0.02,-,-
1756875644000,0.318,0.078,0.02,-,-
1756875646000,0.34,0.084,0.022,-,-
1756875648000,0.36,0.092,0.026,-,-
1756875650000,0.38,0.1,0.03,-,-
1756875652000,0.452,0.12,0.038,-,-
1756875654000,0.524,0.14,0.046,-,-
1756875656000,0.598,0.158,0.052,-,-
1756875658000,0.674,0.174,0.056,-,-
1756875660000,0.75,0.19,0.06,-,-
1756875662000,0.7477909,0.19,0.06,-,-
1756875664000,0.7455818,0.19,0.06,-,-
1756875666000,0.7335818,0.19,0.06,-,-
1756875668000,0.7117909,0.19,0.06,-,-
1756875670000,0.69,0.19,0.06,-,-
1756875672000,0.67,0.19,0.06,-,-
1756875674000,0.65,0.19,0.06,-,-
1756875676000,0.63,0.188,0.06,-,-
1756875678000,0.61,0.184,0.06,-,-
1756875680000,0.59,0.18,0.06,-,-
1756875682000,0.57,0.18,0.06,-,-
1756875684000,0.55,0.18,0.06,-,-
1756875686000,0.548,0.182,0.06,-,-
1756875688000,0.564,0.186,0.06,-,-
1756875690000,0.58,0.19,0.06,-,-
1756875692000,0.56,0.19,0.06,-,-
1756875694000,0.54,0.19,0.06,-,-
1756875696000,0.878,0.268,0.086,-,-
1756875698000,1.574,0.424,0.138,-,-
1756875700000,2.27,0.58,0.19,-,-
1756875702000,2.2781004,0.5825774,0.1911046,-,-
1756875704000,2.2862008,0.5851549,0.1922092,-,-
1756875706000,2.3302008,0.5991549,0.1982092,-,-
1756875708000,2.4101004,0.6245774,0.2091046,-,-
1756875710000,2.49,0.65,0.22,-,-
1756875712000,2.794,0.726,0.244,-,-
1756875714000,3.098,0.802,0.268,-,-
1756875716000,3.422,0.884,0.296,-,-
1756875718000,3.766,0.972,0.328,-,-
1756875720000,4.11,1.06,0.36,-,-
1756875722000,4.394,1.14,0.384,-,-
1756875724000,4.678,1.22,0.408,-,-
1756875726000,5.064,1.322,0.442,-,-
1756875728000,5.552,1.446,0.486,-,-
1756875730000,6.04,1.57,0.53,-,-
1756875732000,6.036,1.598,0.542,-,-
1756875734000,6.032,1.626,0.554,-,-
1756875736000,5.934,1.636,0.56,-,-
1756875738000,5.742,1.628,0.56,-,-
1756875740000,5.55,1.62,0.56,-,-
1756875742000,5.374,1.608,0.556,-,-
1756875744000,5.198,1.596,0.552,-,-
1756875746000,5.044,1.588,0.552,-,-
1756875748000,4.912,1.584,0.556,-,-
1756875750000,4.78,1.58,0.56,-,-
1756875752000,4.624,1.568,0.556,-,-
1756875754000,4.468,1.556,0.552,-,-
1756875756000,4.32,1.546,0.55,-,-
1756875758000,4.18,1.538,0.55,-,-
1756875760000,4.04,1.53,0.55,-,-
1756875762000,4.017172,1.528159,0.5496318,-,-
1756875764000,3.994344,1.5263181,0.5492636,-,-
1756875766000,3.870344,1.5163181,0.5472636,-,-
1756875768000,3.645172,1.498159,0.5436318,-,-
1756875770000,3.42,1.48,0.54,-,-
1756875772000,3.312,1.468,0.54,-,-
1756875774000,3.204,1.456,0.54,-,-
1756875776000,3.098,1.446,0.54,-,-
1756875778000,2.994,1.438,0.54,-,-
1756875780000,2.89,1.43,0.54,-,-
