timestamp,4k (mebibytes),2m (mebibytes),1g (mebibytes),anomaly%,annotations
1756875522000,133,4718,11264,-,-
1756875524000,133,4718,11264,-,-
1756875526000,133,4718,11264,-,-
1756875528000,133,4718,11264,-,-
1756875530000,133,4718,11264,-,-
1756875532000,133,4718,11264,-,-
1756875534000,133,4718,11264,-,-
1756875536000,133,4718,11264,-,-
1756875538000,133,4718,11264,-,-
1756875540000,133,4718,11264,-,-
1756875542000,133,4718,11264,-,-
1756875544000,133,4718,11264,-,-
1756875546000,133,4718,11264,-,-
1756875548000,133,4718,11264,-,-
1756875550000,133,4718,11264,-,-
1756875552000,133,4718,11264,-,-
1756875554000,133,4718,11264,-,-
1756875556000,133,4718,11264,-,-
1756875558000,133,4718,11264,-,-
1756875560000,133,4718,11264,-,-
1756875562000,133,4718,11264,-,-
1756875564000,133,4718,11264,-,-
1756875566000,133,4718,11264,-,-
1756875568000,133,4718,11264,-,-
1756875570000,133,4718,11264,-,-
1756875572000,133,4718,11264,-,-
1756875574000,133,4718,11264,-,-
1756875576000,133,4718,11264,-,-
1756875578000,133,4718,11264,-,-
1756875580000,133,4718,11264,-,-
1756875582000,133,4718,11264,-,-
1756875584000,133,4718,11264,-,-
1756875586000,133,4718,11264,-,-
1756875588000,133,4718,11264,-,-
1756875590000,133,4718,11264,-,-
1756875592000,133,4718,11264,-,-
1756875594000,133,4718,11264,-,-
1756875596000,133,4718,11264,-,-
1756875598000,133,4718,11264,-,-
1756875600000,133,4718,11264,-,-
1756875602000,135,4716,11264,-,-
1756875604000,137,4714,11264,-,-
1756875606000,137,4714,11264,-,-
1756875608000,137,4714,11264,-,-
1756875610000,137,4714,11264,-,-
1756875612000,137,4714,11264,-,-
1756875614000,137,4714,11264,-,-
1756875616000,137,4714,11264,-,-
1756875618000,137,4714,11264,-,-
1756875620000,137,4714,11264,-,-
1756875622000,137,4714,11264,-,-
1756875624000,137,4714,11264,-,-
1756875626000,137,4714,11264,-,-
1756875628000,137,4714,11264,-,-
1756875630000,137,4714,11264,-,-
1756875632000,137,4714,11264,-,-
1756875634000,137,4714,11264,-,-
1756875636000,137,4714,11264,-,-
1756875638000,137,4714,11264,-,-
1756875640000,137,4714,11264,-,-
1756875642000,137,4714,11264,-,-
1756875644000,137,4714,11264,-,-
1756875646000,137,4714,11264,-,-
1756875648000,137,4714,11264,-,-
1756875650000,137,4714,11264,-,-
1756875652000,137,4714,11264,-,-
1756875654000,137,4714,11264,-,-
1756875656000,137,4714,11264,-,-
1756875658000,137,4714,11264,-,-
1756875660000,137,4714,11264,-,-
1756875662000,137,4714,11264,-,-
1756875664000,137,4714,11264,-,-
1756875666000,137,4714,11264,-,-
1756875668000,137,4714,11264,-,-
1756875670000,137,4714,11264,-,-
1756875672000,137,4714,11264,-,-
1756875674000,137,4714,11264,-,-
1756875676000,137,4714,11264,-,-
1756875678000,137,4714,11264,-,-
1756875680000,137,4714,11264,-,-
1756875682000,137,4714,11264,-,-
1756875684000,137,4714,11264,-,-
1756875686000,137,4714,11264,-,-
1756875688000,137,4714,11264,-,-
1756875690000,137,4714,11264,-,-
1756875692000,137,4714,11264,-,-
1756875694000,137,4714,11264,-,-
1756875696000,139,4712,11264,-,-
1756875698000,139,4712,11264,-,-
1756875700000,139,4712,11264,-,-
1756875702000,139,4712,11264,-,-
1756875704000,139,4712,11264,-,-
1756875706000,139,4712,11264,-,-
1756875708000,139,4712,11264,-,-
1756875710000,139,4712,11264,-,-
1756875712000,139,4712,11264,-,-
1756875714000,139,4712,11264,-,-
1756875716000,139,4712,11264,-,-
1756875718000,139,4712,11264,-,-
1756875720000,139,4712,11264,-,-
1756875722000,139,4712,11264,-,-
1756875724000,139,4712,11264,-,-
1756875726000,139,4712,11264,-,-
1756875728000,139,4712,11264,-,-
1756875730000,139,4712,11264,-,-
1756875732000,139,4712,11264,-,-
1756875734000,139,4712,11264,-,-
1756875736000,139,4712,11264,-,-
1756875738000,139,4712,11264,-,-
1756875740000,139,4712,11264,-,-
1756875742000,139,4712,11264,-,-
1756875744000,139,4712,11264,-,-
1756875746000,139,4712,11264,-,-
1756875748000,139,4712,11264,-,-
1756875750000,139,4712,11264,-,-
1756875752000,139,4712,11264,-,-
1756875754000,139,4712,11264,-,-
1756875756000,145,5730,10240,-,-
1756875758000,145,5730,10240,-,-
1756875760000,145,5730,10240,-,-
1756875762000,145,5730,10240,-,-
1756875764000,145,5730,10240,-,-
1756875766000,145,5730,10240,-,-
1756875768000,145,5730,10240,-,-
1756875770000,145,5730,10240,-,-
1756875772000,145,5730,10240,-,-
1756875774000,145,5730,10240,-,-
1756875776000,145,5730,10240,-,-
1756875778000,145,5730,10240,-,-
1756875780000,145,5730,10240,-,-
1756875782000,145,5730,10240,-,-
1756875784000,145,5730,10240,-,-
1756875786000,145,5730,10240,-,-
1756875788000,145,5730,10240,-,-
1756875790000,145,5730,10240,-,-
1756875792000,145,5730,10240,-,-
1756875794000,145,5730,10240,-,-
1756875796000,145,5730,10240,-,-
1756875798000,145,5730,10240,-,-
1756875800000,145,5730,10240,-,-
1756875802000,145,5730,10240,-,-
1756875804000,145,5730,10240,-,-
1756875806000,145,5730,10240,-,-
1756875808000,145,5730,10240,-,-
1756875810000,145,5730,10240,-,-
1756875812000,145,5730,10240,-,-
1756875814000,145,5730,10240,-,-
1756875816000,145,5730,10240,-,-
1756875818000,147,6752,9216,-,-
1756875820000,147,6752,9216,-,-
1756875822000,147,6752,9216,-,-
1756875824000,147,6752,9216,-,-
1756875826000,147,6752,9216,-,-
1756875828000,147,6752,9216,-,-
1756875830000,147,6752,9216,-,-
1756875832000,147,6752,9216,-,-
1756875834000,147,6752,9216,-,-
1756875836000,147,6752,9216,-,-
1756875838000,147,6752,9216,-,-
1756875840000,147,6752,9216,-,-
1756875842000,147,6752,9216,-,-
1756875844000,147,6752,9216,-,-
1756875846000,147,6752,9216,-,-
1756875848000,147,6752,9216,-,-
1756875850000,147,6752,9216,-,-
1756875852000,147,6752,9216,-,-
1756875854000,147,6752,9216,-,-
1756875856000,147,6752,9216,-,-
1756875858000,147,6752,9216,-,-
1756875860000,147,6752,9216,-,-
1756875862000,147,6752,9216,-,-
1756875864000,147,6752,9216,-,-
