timestamp,free (mebibytes),used (mebibytes),cached (mebibytes),buffers (mebibytes),anomaly%,annotations
1756875522000,133.51367,6855.8265,641.9492,46.64453,-,-
1756875524000,135.318355,6854.0215,641.9492,46.64453,-,-
1756875526000,134.998045,6854.334,641.9453,46.65625,-,-
1756875528000,134.33282,6854.99,641.95055,46.66016,-,-
1756875530000,133.064455,6856.252,641.957,46.66016,-,-
1756875532000,133.0625,6856.25,641.957,46.664065,-,-
1756875534000,135.566405,6853.68,642.0195,46.66797,-,-
1756875536000,135.953125,6853.2305,642.082,46.66797,-,-
1756875538000,135.79492,6853.3885,642.082,46.66797,-,-
1756875540000,135.28711,6853.8925,642.082,46.671875,-,-
1756875542000,134.50586,6854.67,642.082,46.67578,-,-
1756875544000,134.470705,6854.705,642.082,46.67578,-,-
1756875546000,135.86719,6853.3085,642.0781,46.679685,-,-
1756875548000,135.121095,6854.0505,642.0781,46.68359,-,-
1756875550000,134.73828,6854.43,642.082,46.68359,-,-
1756875552000,136.072265,6853.096,642.082,46.68359,-,-
1756875554000,134.63086,6854.537,642.0742,46.69141,-,-
1756875556000,136.61328,6852.5315,642.082,46.70703,-,-
1756875558000,135.998045,6853.1465,642.082,46.70703,-,-
1756875560000,135.792885,6853.3515,642.08075,46.708305,-,-
1756875562000,135.59375,6853.547,642.0781,46.71484,-,-
1756875564000,135.601565,6853.5355,642.082,46.71484,-,-
1756875566000,135.3418,6853.795,642.082,46.71484,-,-
1756875568000,135.839845,6853.281,642.082,46.73047,-,-
1756875570000,136.7168,6852.404,642.082,46.73047,-,-
1756875572000,134.85547,6854.2635,642.08395,46.73047,-,-
1756875574000,133.14453,6855.967,642.08395,46.73828,-,-
1756875576000,132.85547,6856.25,642.0898,46.73828,-,-
1756875578000,134.416015,6854.6895,642.0898,46.73828,-,-
1756875580000,133.957035,6855.1485,642.0898,46.73828,-,-
1756875582000,133.947265,6855.15,642.0898,46.74609,-,-
1756875584000,135.214845,6853.8825,642.0898,46.74609,-,-
1756875586000,134.80859,6854.289,642.0898,46.74609,-,-
1756875588000,134.08594,6855.004,642.0898,46.75391,-,-
1756875590000,133.15234,6855.9375,642.0898,46.75391,-,-
1756875592000,133.765625,6855.3245,642.0859,46.757815,-,-
1756875594000,133.97862,6855.106,642.0873,46.76172,-,-
1756875596000,127.894535,6861.154,642.11525,46.76953,-,-
1756875598000,129.0957,6859.947,642.1211,46.76953,-,-
1756875600000,129.640625,6859.3905,642.1289,46.773435,-,-
1756875602000,129.462895,6858.5645,643.0918,46.81445,-,-
1756875604000,129.205075,6857.4785,644.3984,46.85156,-,-
1756875606000,128.9043,6857.7795,644.3984,46.85156,-,-
1756875608000,128.808595,6857.875,644.38865,46.861325,-,-
1756875610000,128.3418,6858.332,644.38865,46.87109,-,-
1756875612000,127.84375,6858.816,644.4023,46.87109,-,-
1756875614000,127.472655,6859.1775,644.4082,46.875,-,-
1756875616000,125.56641,6861.078,644.4102,46.87891,-,-
1756875618000,122.447265,6864.1735,644.4336,46.87891,-,-
1756875620000,127.466795,6859.154,644.4258,46.88672,-,-
1756875622000,128.519535,6858.09,644.4336,46.890625,-,-
1756875624000,384.96485,6601.631,644.44335,46.89453,-,-
1756875626000,1397.5659,5588.825,644.64505,46.897295,-,-
1756875628000,5794.4175,1191.1465,645.45115,46.91797,-,-
1756875630000,5803.2655,1169.75975,657.97265,46.935545,-,-
1756875632000,5291.293,1671.95725,667.6289,47.05469,-,-
1756875634000,3893.307,3067.518,670.03515,47.07422,-,-
1756875636000,3467.9105,3475.99,686.9258,47.107425,-,-
1756875638000,3160.5805,3650.6345,819.5703,47.14844,-,-
1756875640000,2929.623,3841.264,859.8984,47.14844,-,-
1756875642000,2641.086,4129.777,859.9141,47.15625,-,-
1756875644000,2247.8945,4522.9645,859.9141,47.160155,-,-
1756875646000,2174.848,4553.4435,902.4785,47.16406,-,-
1756875648000,1868.043,4736.324,1026.3945,47.17188,-,-
1756875650000,1543.04105,5022.7365,1064.97655,47.17969,-,-
1756875652000,1266.12305,5249.877,1114.7539,47.17969,-,-
1756875654000,758.05275,5492.293,1380.4082,47.17969,-,-
1756875656000,680.707,5493.078,1456.9609,47.1875,-,-
1756875658000,114.58984,6137.2855,1378.9297,47.128905,-,-
1756875660000,131.38903,6309.88,1189.58235,47.08203,-,-
1756875662000,591.4258,6111.422,928.0039,47.08203,-,-
1756875664000,316.20705,6288.221,1026.416,47.08984,-,-
1756875666000,167.191405,6404.3165,1059.332,47.09375,-,-
1756875668000,163.96289,6407.5335,1059.33985,47.097655,-,-
1756875670000,160.70703,6410.7615,1059.3633,47.10156,-,-
1756875672000,160.28711,6411.166,1059.3789,47.10156,-,-
1756875674000,158.958985,6412.4865,1059.3828,47.10547,-,-
1756875676000,156.48047,6414.6955,1059.6445,47.113285,-,-
1756875678000,156.800785,6414.3375,1059.6777,47.11719,-,-
1756875680000,154.73828,6416.371,1059.707,47.11719,-,-
1756875682000,153.91406,6417.191,1059.707,47.121095,-,-
1756875684000,152.15625,6417.6735,1060.9785,47.125,-,-
1756875686000,136.69922,6416.8145,1076.7617,47.658205,-,-
1756875688000,127.18945,6481.701,1014.6543,54.38867,-,-
1756875690000,250.6797,6383.826,986.85155,56.576175,-,-
1756875692000,249.3035,6385.1635,986.8805,56.58594,-,-
1756875694000,249.7715,6384.631,986.9453,56.58594,-,-
1756875696000,132.248045,6616.625,872.46095,56.59961,-,-
1756875698000,132.25,6841.8355,647.8672,55.98047,-,-
1756875700000,124.291015,6994.584,503.7012,55.35742,-,-
1756875702000,126.912105,7019.3695,477.29495,54.35742,-,-
1756875704000,128.75781,7031.988,463.4531,53.734375,-,-
1756875706000,129.158205,7039.6465,461.125,48.00391,-,-
1756875708000,128.23047,7049.789,457.56055,42.353515,-,-
1756875710000,121.63281,7055.6955,458.207,42.39844,-,-
1756875712000,163.00781,7019.633,456.2266,39.06641,-,-
1756875714000,157.15234,7024.965,456.7422,39.07422,-,-
1756875716000,148.765625,7032.383,457.7109,39.07422,-,-
1756875718000,140.964845,7039.7345,458.0312,39.203125,-,-
1756875720000,137.166015,7043.262,458.2559,39.25,-,-
1756875722000,137.673825,7042.3695,458.6367,39.253905,-,-
1756875724000,130.97461,7047.9005,459.80075,39.25781,-,-
1756875726000,126.227435,7051.8485,460.59995,39.25781,-,-
1756875728000,121.30664,7055.035,462.0332,39.558595,-,-
1756875730000,122.009765,7053.9045,462.3984,39.62109,-,-
1756875732000,129.13867,7051.957,460.22855,36.60938,-,-
1756875734000,126.66797,7054.3495,460.30665,36.60938,-,-
1756875736000,129.59961,7053.7755,459.5859,34.97266,-,-
