timestamp,softirq (percent),user (percent),system (percent),iowait (percent),anomaly%,annotations
1756257492000,0,0.1137501,0.113688,0,-,-
1756257494000,0,0.1360549,0.1586998,0.022645,-,-
1756257496000,0.1594438,0.1817984,0.205178,0,-,-
1756257498000,0,0.0682136,0.0454241,0,-,-
1756257500000,0,0.1597237,0.0227998,0,-,-
1756257502000,0,0.067783,0.3384235,0.0225124,-,-
1756257504000,0.0227583,0.1591841,0.1136261,0,-,-
1756257506000,0.0227376,0.0909711,0.181963,0.0227376,-,-
1756257508000,0.0227998,0.1598806,0.1369868,0.0227998,-,-
1756257510000,0,0.0910438,0.0454132,0,-,-
1756257512000,0.1136778,0.2724181,0.2727896,0,-,-
1756257514000,0,0.1088849,0.0228102,0,-,-
1756257516000,0.0226757,0.1817362,0.090868,0,-,-
1756257518000,0.1590909,0.2044629,0.1362812,0.022686,-,-
1756257520000,0.0227686,0.0903058,0.1360994,0,-,-
1756257522000,0,0.0455685,0.1367054,0,-,-
1756257524000,0,0.1137604,0.1820561,0.0227583,-,-
1756257526000,0.0226757,0.1588953,0.1589778,0.0226757,-,-
1756257528000,0.0227894,0.1822117,0.1820563,0,-,-
1756257530000,0.0226654,0.2277189,0.1133273,0,-,-
1756257532000,0.0227583,0.1593392,0.091054,0.0227583,-,-
1756257534000,0.0680581,0.1362607,0.2042465,0,-,-
1756257536000,0.0225632,0.0906844,0.0451263,0,-,-
1756257538000,0.022748,0.0909711,0.0909607,0,-,-
1756257540000,0.0455581,0.2740988,0.1824199,0,-,-
1756257542000,0.022779,0.091137,0.0227894,0.0455581,-,-
1756257544000,0.0226552,0.0908478,0.1361581,0,-,-
1756257546000,0.0203666,0.0632354,0.1468375,0,-,-
1756257548000,0,0.1589362,0.1135744,0,-,-
1756257550000,0.3188858,0.3414575,0.2049906,0.0227583,-,-
1756257552000,0,0.1360546,0.2042672,0,-,-
1756257554000,0.0226757,0.136261,0.1364676,0,-,-
1756257556000,0.2725416,0.1814268,0.2042055,0,-,-
1756257558000,0.0227066,0.1817562,0.0681612,0,-,-
1756257560000,0,0.1138952,0.0455581,0,-,-
1756257562000,0.0685678,0.2047458,0.2520541,0,-,-
1756257564000,0,0.1134405,0.2042672,0,-,-
1756257566000,0.0227376,0.0909607,0.0909814,0,-,-
1756257568000,0.1818806,0.0682234,0.182098,0,-,-
1756257570000,0,0.0682749,0.0227686,0,-,-
1756257572000,0.0454133,0.0908266,0.2497525,0.022686,-,-
1756257574000,0.2707074,0.5417006,0.2256728,0,-,-
1756257576000,0.020517,0.2163767,0.0637924,0,-,-
1756257578000,0.1817149,0.1135228,0.3179548,0,-,-
1756257580000,0.0453824,0.1815191,0.204236,0,-,-
1756257582000,0,0.2044218,0.0908369,0,-,-
1756257584000,0,0.1818183,0.3181407,0,-,-
1756257586000,0,0.0909607,0.113719,0,-,-
1756257588000,0,0.1592874,0.1365291,0,-,-
1756257590000,0.0909504,0.1592151,0.2728929,0.0454545,-,-
1756257592000,0,0.0452492,0.0903756,0,-,-
1756257594000,0.046083,0.1379656,0.2068069,0,-,-
1756257596000,0.0909918,0.2502482,0.2502482,0,-,-
1756257598000,0,0.1136986,0.1364258,0.0683683,-,-
1756257600000,0,0.1362914,0.1364982,0,-,-
1756257602000,0.0227583,0.182108,0.2504346,0,-,-
1756257604000,0,0.1591117,0.0681612,0.0454959,-,-
1756257606000,0.0229042,0.4806561,0.5950108,0.5955108,-,-
1756257608000,0.3827028,2.701197,0.8465608,0.2172097,-,-
1756257610000,0.0912408,3.5583945,1.5282845,0.4105839,-,-
1756257612000,0.6810451,4.403525,1.293548,0.2044423,-,-
1756257614000,0.091659,4.291663,1.0272269,0.0914715,-,-
1756257616000,0.2502511,3.8868105,1.3423827,0.136148,-,-
1756257618000,0.4096091,3.7697265,2.3851495,0.068079,-,-
1756257620000,0.1819422,3.9800225,1.0006823,0.136467,-,-
1756257622000,0.0909918,4.7706685,2.100151,0.1366545,-,-
1756257624000,0.295279,3.815374,1.2266844,0.2726033,-,-
1756257626000,0,4.5982145,0.1821182,0,-,-
1756257628000,0.1363544,1.432869,3.191076,0.0455692,-,-
1756257630000,0.3177485,4.23245,1.658654,0.0908992,-,-
1756257632000,0.0455166,4.8750965,1.0677911,0.0455166,-,-
1756257634000,0.0455581,4.599034,1.4163898,0.1146064,-,-
1756257636000,0.0682749,0.5689577,0.7965407,0.0910332,-,-
1756257638000,0.0198177,0.2524118,0.2325941,0,-,-
1756257640000,0,0.1141767,0.1596312,0.0227272,-,-
1756257642000,0,0.1138952,0.3644647,0.022779,-,-
1756257644000,0.068151,0.4544428,0.1363638,0.0454752,-,-
1756257646000,0.1595588,1.0488849,1.0033676,0,-,-
1756257648000,0.0455166,0.2731412,0.3187407,0,-,-
1756257650000,0.1134405,0.2723563,0.4762524,0.0227376,-,-
1756257652000,0.0681508,0.2714368,0.4758894,0,-,-
1756257654000,0.0228415,0.0684412,0.0456413,0.0227998,-,-
1756257656000,0,0.136436,0.1364464,0.0227376,-,-
1756257658000,0.1137803,0.1592078,0.3413408,0,-,-
1756257660000,0.2495054,2.0639782,0.7033709,1.225171,-,-
1756257662000,0.0691882,4.8404822,1.3828669,0.3228782,-,-
1756257664000,0.4448443,25.855705,8.6204625,0.0702467,-,-
1756257666000,0.2057873,46.80784,16.6512775,0.0451876,-,-
1756257668000,0.1373067,58.047815,11.0315655,0.3219871,-,-
1756257670000,0.4374846,71.677215,9.802703,0.0195084,-,-
1756257672000,0.1880736,67.115365,6.7861425,0.0233645,-,-
1756257674000,0.0940291,71.806425,7.915454,0,-,-
1756257676000,0.3467667,70.203635,9.3136775,0,-,-
1756257678000,0.0940291,68.966675,7.612084,0,-,-
1756257680000,0.0232991,72.44333,7.8904015,0.023116,-,-
1756257682000,0.4664628,64.944685,6.0790565,0,-,-
1756257684000,0.2800286,73.399145,8.682978,0,-,-
1756257686000,0.0464793,70.40008,6.4134665,0,-,-
1756257688000,0.0470916,72.168115,7.292823,0,-,-
1756257690000,0.3216338,67.637175,8.627586,0,-,-
1756257692000,0.1410113,70.766375,7.603679,0,-,-
1756257694000,0.1143642,68.95215,6.940413,0,-,-
