timestamp,free (mebibytes),used (mebibytes),cached (mebibytes),buffers (mebibytes),anomaly%,annotations
1756257492000,6079.5625,978.8281,610.3555,9.191406,-,-
1756257494000,6080.9355,977.45115,610.3516,9.199219,-,-
1756257496000,6077.711,980.6719,610.3555,9.199219,-,-
1756257498000,6077.17,981.2129,610.3555,9.199219,-,-
1756257500000,6079.8025,978.58005,610.3555,9.199219,-,-
1756257502000,6081.5565,976.7012,610.4805,9.199219,-,-
1756257504000,6080.77,977.48825,610.4805,9.199219,-,-
1756257506000,6080.3105,977.93355,610.49415,9.199219,-,-
1756257508000,6080.176,978.0508,610.5039,9.207031,-,-
1756257510000,6080.242,977.98045,610.5078,9.207031,-,-
1756257512000,6080.9865,977.23635,610.5078,9.207031,-,-
1756257514000,6082.043,976.1758,610.5117,9.207031,-,-
1756257516000,6080.918,977.29685,610.5156,9.207031,-,-
1756257518000,6081.121,977.08985,610.5156,9.2109375,-,-
1756257520000,6083.709,974.49805,610.5156,9.214844,-,-
1756257522000,6083.09,975.11715,610.5156,9.214844,-,-
1756257524000,6081.7855,976.40625,610.5156,9.230469,-,-
1756257526000,6082.328,975.86325,610.5156,9.230469,-,-
1756257528000,6083.1525,975.0391,610.5156,9.230469,-,-
1756257530000,6082.953,975.23825,610.5156,9.230469,-,-
1756257532000,6082.3065,975.88085,610.5156,9.234375,-,-
1756257534000,6081.3105,976.87305,610.5156,9.238281,-,-
1756257536000,6080.0995,978.084,610.5156,9.238281,-,-
1756257538000,6081.1445,977.03905,610.5156,9.238281,-,-
1756257540000,6079.91,978.27345,610.5156,9.238281,-,-
1756257542000,6080.967,977.209,610.5156,9.246094,-,-
1756257544000,6079.5275,978.64845,610.5156,9.246094,-,-
1756257546000,6078.9825,979.18555,610.5156,9.253906,-,-
1756257548000,6079.9825,978.18555,610.5156,9.253906,-,-
1756257550000,6079.2945,978.86525,610.5156,9.261719,-,-
1756257552000,6078.4085,979.75195,610.5156,9.261719,-,-
1756257554000,6078.959,979.20115,610.5156,9.261719,-,-
1756257556000,6080.043,978.1172,610.5156,9.261719,-,-
1756257558000,6080.3865,977.77345,610.5156,9.261719,-,-
1756257560000,6080.584,977.57615,610.5156,9.261719,-,-
1756257562000,6080.4825,977.6777,610.5156,9.261719,-,-
1756257564000,6081.9705,976.18945,610.5156,9.261719,-,-
1756257566000,6082.193,975.9668,610.5156,9.261719,-,-
1756257568000,6083.078,975.08205,610.5156,9.261719,-,-
1756257570000,6081.047,977.11325,610.5156,9.261719,-,-
1756257572000,6081.2185,976.9414,610.5156,9.261719,-,-
1756257574000,6082.8805,975.2793,610.5156,9.261719,-,-
1756257576000,6082.1365,976.0215,610.51755,9.261719,-,-
1756257578000,6081.5995,976.54885,610.5195,9.269531,-,-
1756257580000,6080.6935,977.45505,610.5195,9.269531,-,-
1756257582000,6081.4705,976.6777,610.5195,9.269531,-,-
1756257584000,6080.8125,977.3359,610.5195,9.269531,-,-
1756257586000,6079.2615,978.8867,610.5195,9.269531,-,-
1756257588000,6079.939,978.209,610.5195,9.269531,-,-
1756257590000,6078.8025,979.3379,610.5195,9.277344,-,-
1756257592000,6079.3885,978.75195,610.5195,9.277344,-,-
1756257594000,6074.9515,983.166,610.543,9.277344,-,-
1756257596000,6073.4885,984.6172,610.5547,9.277344,-,-
1756257598000,6073.867,984.2266,610.5625,9.28125,-,-
1756257600000,6073.3105,984.7676,610.5742,9.285156,-,-
1756257602000,6075.088,982.9824,610.582,9.285156,-,-
