timestamp,Committed_AS (mebibytes),anomaly%,annotations
1756261804000,3502.195,-,-
1756261806000,3502.195,-,-
1756261808000,3502.195,-,-
1756261810000,3505.195,-,-
1756261812000,3508.195,-,-
1756261814000,3500.648,-,-
1756261816000,3500.648,-,-
1756261818000,3500.648,-,-
1756261820000,3500.648,-,-
1756261822000,3500.648,-,-
1756261824000,3500.648,-,-
1756261826000,3500.648,-,-
1756261828000,3500.648,-,-
1756261830000,3500.648,-,-
1756261832000,3500.648,-,-
1756261834000,3500.648,-,-
1756261836000,3500.648,-,-
1756261838000,3500.648,-,-
1756261840000,3500.648,-,-
1756261842000,3500.648,-,-
1756261844000,3525.168,-,-
1756261846000,3525.168,-,-
1756261848000,3525.168,-,-
1756261850000,3525.168,-,-
1756261852000,3525.172,-,-
1756261854000,3353.332,-,-
1756261856000,3352.883,-,-
1756261858000,3347.223,-,-
1756261860000,3347.223,-,-
1756261862000,3350.9965,-,-
1756261864000,3354.77,-,-
1756261866000,3347.223,-,-
1756261868000,3347.223,-,-
1756261870000,3347.223,-,-
1756261872000,3347.223,-,-
1756261874000,3347.223,-,-
1756261876000,3347.225,-,-
1756261878000,3347.227,-,-
1756261880000,3347.227,-,-
1756261882000,3347.227,-,-
1756261884000,3347.227,-,-
1756261886000,3347.227,-,-
1756261888000,3347.227,-,-
1756261890000,3347.227,-,-
1756261892000,3347.227,-,-
1756261894000,3347.227,-,-
1756261896000,3347.227,-,-
1756261898000,3348.516,-,-
1756261900000,3360.438,-,-
1756261902000,3347.23,-,-
1756261904000,4153.8065,-,-
1756261906000,4318.6405,-,-
1756261908000,5161.0525,-,-
1756261910000,5483.3265,-,-
1756261912000,5825.322,-,-
1756261914000,6337.912,-,-
1756261916000,6949.941,-,-
1756261918000,7467.705,-,-
1756261920000,7888.072,-,-
1756261922000,8120.453,-,-
1756261924000,8450.8435,-,-
1756261926000,8900.76,-,-
1756261928000,8732.3615,-,-
1756261930000,9094.8495,-,-
1756261932000,9563.672,-,-
1756261934000,9559.084,-,-
1756261936000,9554.625,-,-
1756261938000,9553.6815,-,-
1756261940000,9552.738,-,-
1756261942000,9552.738,-,-
1756261944000,9552.738,-,-
1756261946000,9552.738,-,-
1756261948000,9552.738,-,-
1756261950000,9552.738,-,-
1756261952000,9557.455,-,-
1756261954000,9562.172,-,-
1756261956000,9557.455,-,-
1756261958000,9552.738,-,-
1756261960000,9552.738,-,-
1756261962000,9562.172,-,-
1756261964000,9557.455,-,-
1756261966000,9552.738,-,-
1756261968000,9566.789,-,-
1756261970000,9566.547,-,-
1756261972000,9555.227,-,-
1756261974000,9555.227,-,-
1756261976000,9555.23,-,-
1756261978000,9555.23,-,-
1756261980000,9555.23,-,-
1756261982000,9555.23,-,-
1756261984000,9555.23,-,-
1756261986000,9555.23,-,-
1756261988000,9555.23,-,-
1756261990000,9555.23,-,-
1756261992000,9555.23,-,-
1756261994000,9558.746,-,-
1756261996000,9558.746,-,-
1756261998000,9554.973,-,-
1756262000000,9574.7735,-,-
1756262002000,9652.514,-,-
1756262004000,9777.666,-,-
1756262006000,10020.154,-,-
1756262008000,10144.619,-,-
1756262010000,10197.2695,-,-
1756262012000,10224.514,-,-
1756262014000,10242.932,-,-
1756262016000,10251.945,-,-
1756262018000,10266.779,-,-
1756262020000,10289.0565,-,-
1756262022000,10304.08,-,-
1756262024000,10304.742,-,-
1756262026000,10317.133,-,-
1756262028000,10321.535,-,-
1756262030000,10321.8655,-,-
1756262032000,10334.4555,-,-
1756262034000,10334.473,-,-
1756262036000,10335.791,-,-
1756262038000,10335.793,-,-
1756262040000,10335.793,-,-
1756262042000,10340.0115,-,-
1756262044000,10344.23,-,-
1756262046000,10344.23,-,-
1756262048000,10344.23,-,-
1756262050000,10344.232,-,-
1756262052000,10344.234,-,-
1756262054000,10344.234,-,-
1756262056000,10344.2575,-,-
1756262058000,10344.281,-,-
1756262060000,10344.281,-,-
1756262062000,10344.281,-,-
1756262064000,10345.055,-,-
1756262066000,10345.055,-,-
1756262068000,10345.055,-,-
1756262070000,10345.055,-,-
1756262072000,10350.715,-,-
1756262074000,10356.375,-,-
1756262076000,10345.055,-,-
1756262078000,10345.055,-,-
1756262080000,10345.1195,-,-
1756262082000,10345.305,-,-
1756262084000,10345.305,-,-
1756262086000,10345.305,-,-
1756262088000,10345.305,-,-
1756262090000,10345.305,-,-
1756262092000,10345.305,-,-
1756262094000,10345.305,-,-
1756262096000,10291.6155,-,-
1756262098000,10237.027,-,-
1756262100000,10232.3105,-,-
1756262102000,10280.457,-,-
1756262104000,10345.32,-,-
1756262106000,10350.98,-,-
1756262108000,10348.215,-,-
1756262110000,10437.9475,-,-
1756262112000,10345.387,-,-
1756262114000,10345.395,-,-
1756262116000,10345.414,-,-
1756262118000,10345.414,-,-
1756262120000,10353.8695,-,-
1756262122000,10353.887,-,-
1756262124000,10353.887,-,-
1756262126000,10353.887,-,-
1756262128000,10362.328,-,-
1756262130000,10362.334,-,-
1756262132000,10362.336,-,-
1756262134000,10362.336,-,-
1756262136000,10362.336,-,-
1756262138000,10362.367,-,-
1756262140000,10456.125,-,-
1756262142000,10364.9785,-,-
1756262144000,10364.99,-,-
1756262146000,10364.992,-,-
1756262148000,10365,-,-
1756262150000,10365,-,-
1756262152000,10365,-,-
1756262154000,10365,-,-
1756262156000,10365,-,-
1756262158000,10365,-,-
1756262160000,10362.422,-,-
1756262162000,10362.5685,-,-
1756262164000,10362.422,-,-
1756262166000,10362.422,-,-
1756262168000,10362.422,-,-
1756262170000,10362.422,-,-
1756262172000,10362.422,-,-
1756262174000,10362.422,-,-
1756262176000,10362.422,-,-
1756262178000,10362.422,-,-
1756262180000,10362.422,-,-
1756262182000,10362.422,-,-
1756262184000,10362.422,-,-
1756262186000,10362.422,-,-
1756262188000,10362.422,-,-
1756262190000,10362.422,-,-
1756262192000,10362.422,-,-
1756262194000,10362.422,-,-
1756262196000,10362.422,-,-
1756262198000,10362.422,-,-
1756262200000,10362.422,-,-
1756262202000,10362.422,-,-
1756262204000,10362.422,-,-
1756262206000,10252.242,-,-
1756262208000,10252.246,-,-
1756262210000,10244.703,-,-
1756262212000,10244.703,-,-
