timestamp,softirq (percent),user (percent),system (percent),iowait (percent),anomaly%,annotations
1756261804000,0.2494846,0.1134302,0.5445269,0,-,-
1756261806000,0,0.0908884,0.1363327,0.0227376,-,-
1756261808000,0.2045454,0.1591635,0.318472,0,-,-
1756261810000,0.0908678,0.1589567,0.3633062,0,-,-
1756261812000,0.1136674,0.1820044,0.2273658,0.0227583,-,-
1756261814000,0.0910125,0.2730997,0.2959098,0,-,-
1756261816000,0,0.1365084,0.1365084,0.0455166,-,-
1756261818000,0.0227583,0.159391,0.1138123,0,-,-
1756261820000,0.1592978,0.182108,0.3185646,0,-,-
1756261822000,0.0680584,0.4080716,0.2497636,0.0226552,-,-
1756261824000,0.0227376,0.227376,0.1819008,0,-,-
1756261826000,0.1135332,0.2044425,0.3408478,0.0227894,-,-
1756261828000,0.0453926,0.3854054,0.2949596,0,-,-
1756261830000,0.0680272,0.1363019,0.3631212,0.0226757,-,-
1756261832000,0.2047315,0.2046902,0.2956613,0,-,-
1756261834000,0,0.1817876,0.2955586,0.0453926,-,-
1756261836000,0.0486855,0.071475,0.3573746,0,-,-
1756261838000,0,0.2730168,0.2275416,0.022748,-,-
1756261840000,0,0.1592772,0.1364052,0.0227686,-,-
1756261842000,0.0909918,0.2957234,0.454959,0.022748,-,-
1756261844000,0.1606366,3.6980335,4.040343,0.0456412,-,-
1756261846000,0.0693384,3.379082,8.1218795,0,-,-
1756261848000,0.1154735,3.996443,8.015265,0.0462001,-,-
1756261850000,0.1388036,2.2414704,7.1665265,0,-,-
1756261852000,0.0459347,4.1869195,6.9208635,0,-,-
1756261854000,0.4092158,1.9340946,2.4571742,0.4096495,-,-
1756261856000,0.0227376,0.1591013,0.2043596,0,-,-
1756261858000,0.0454545,0.0682232,0.2728101,0,-,-
1756261860000,0.0681508,0.3635746,0.1817356,0.022717,-,-
1756261862000,0,0.1361884,0.1818496,0,-,-
1756261864000,0,0.0908265,0.1595679,0,-,-
1756261866000,0.09094,0.2046178,0.3183058,0,-,-
1756261868000,0,0.1070722,0.1298202,0,-,-
1756261870000,0.0908265,0.2272213,0.2953929,0,-,-
1756261872000,0.0227376,0.1363017,0.7274486,0,-,-
1756261874000,0.0454652,0.1363955,0.4763042,0.0453514,-,-
1756261876000,0.0909711,0.272903,0.1819112,0.0227376,-,-
1756261878000,0.0227066,0.0909713,0.0455581,0,-,-
1756261880000,0.0227998,0.0455478,0.1138954,0,-,-
1756261882000,0.0682854,0.2274798,0.2731414,0.0455581,-,-
1756261884000,0.0227583,0.0683164,0.1593289,0,-,-
1756261886000,0.0454444,0.1136574,0.158916,0.068306,-,-
1756261888000,0.0682438,0.2502689,0.1137708,0.022748,-,-
1756261890000,0.0227376,0.3628637,0.0907339,0,-,-
1756261892000,0,0.136302,0.06812,0,-,-
1756261894000,0.2048248,0.1820146,0.2048144,0,-,-
1756261896000,0.0227894,0.0911162,0.1365706,0,-,-
1756261898000,0.0681818,0.2727686,0.3636673,0,-,-
1756261900000,0.0227686,0.2203404,0.1624651,0,-,-
1756261902000,0.0680272,0.1362605,1.1799213,0.1817356,-,-
1756261904000,0.6139777,1.8643814,2.4555696,1.4777694,-,-
1756261906000,0.3609058,3.322906,0.8312949,0.3144348,-,-
1756261908000,0.09218,3.7164545,1.6823672,0.1377796,-,-
1756261910000,0.3398588,4.235701,1.5622854,0.3848202,-,-
1756261912000,0.5869939,5.2772275,1.4946572,0.2486989,-,-
1756261914000,0.2269137,4.5141775,1.0202415,0.1812632,-,-
1756261916000,0.3403212,4.8333595,1.3841977,0.1815088,-,-
1756261918000,0.4105184,4.330466,1.0033142,0.091336,-,-
1756261920000,0.2041434,4.1273975,1.6105132,0.2495978,-,-
1756261922000,0.2719855,4.7370805,0.5439709,0.0226654,-,-
1756261924000,0.2722323,3.3121595,1.6333937,0,-,-
1756261926000,0.1138019,2.6166984,3.3242165,0.1138019,-,-
1756261928000,0.2048669,5.733621,1.2734751,0.022717,-,-
1756261930000,0.3638029,5.27597,1.4801414,0.090868,-,-
1756261932000,0.0496212,0.4926027,1.2672695,0.053476,-,-
1756261934000,0.0454339,0.3633886,0.3179341,0.1363017,-,-
1756261936000,0,0.1368822,0.2053024,0,-,-
1756261938000,0.0911577,0.2276764,0.1822531,0,-,-
1756261940000,0,0.204804,0.181963,0,-,-
1756261942000,0.0227894,0.2265519,0.1361996,0.0679656,-,-
1756261944000,0.0226963,0.2271698,0.3407546,0,-,-
1756261946000,0,0.2047319,0.181715,0,-,-
1756261948000,0,0.1589882,0.1816742,0,-,-
1756261950000,0.0682645,0.091054,0.2503725,0,-,-
1756261952000,0.3150315,1.1030606,1.3962648,0.090009,-,-
1756261954000,0,0.1593289,0.0910333,0,-,-
1756261956000,0.0456204,0.2280191,0.2052089,0,-,-
1756261958000,0,0.1137812,0.1138019,0.0227686,-,-
1756261960000,0,0.1594326,0.2506214,0,-,-
1756261962000,0.1235634,0.2502801,3.2820214,0.1558441,-,-
1756261964000,0,0.0683579,0.273577,0.0227998,-,-
1756261966000,0,0.1595054,0.1594222,0.0683891,-,-
1756261968000,0.0682128,0.2502068,0.3638949,0.0682128,-,-
1756261970000,0,0.1822327,0.1594848,0,-,-
1756261972000,0.0907853,0.1363638,0.3405068,0.0227583,-,-
1756261974000,0,0.181986,0.068162,0,-,-
1756261976000,0,0.1593496,0.091054,0,-,-
1756261978000,0,0.2274382,0.2273968,0.0227583,-,-
1756261980000,0,0.0908575,0.1363327,0,-,-
1756261982000,0.0683786,0.1823778,0.2507564,0.0227998,-,-
1756261984000,0,0.0908476,0.2042776,0,-,-
1756261986000,0.0228102,0.2277908,0.0911889,0,-,-
1756261988000,0.0912409,0.2498991,0.2050024,0,-,-
1756261990000,0,0.136178,0.113761,0,-,-
1756261992000,0.0228206,0.1594123,0.547446,0.0228206,-,-
1756261994000,0.1861702,0.1025455,0.2544451,0,-,-
1756261996000,0,0.0909194,0.181746,0,-,-
1756261998000,0,0.1138952,0.1594948,0.0455788,-,-
1756262000000,0,0.1136778,0.2956616,0.136612,-,-
1756262002000,0.0681922,4.253694,1.205363,1.5683792,-,-
1756262004000,0.2500827,9.5037015,2.5234718,0.1818182,-,-
1756262006000,0.0912929,53.026325,5.615365,0.1141552,-,-
1756262008000,0.0469704,71.96129,7.3903065,0,-,-
1756262010000,0.2097766,73.573765,7.088248,0,-,-
1756262012000,0.1828467,76.435055,7.7258505,0.0228519,-,-
1756262014000,0.0456349,73.26094,6.5200535,0.0234521,-,-
1756262016000,0.1607825,67.927385,5.704722,0,-,-
1756262018000,0.5002904,67.144995,7.867475,0.0454132,-,-
1756262020000,0.0923788,73.267325,7.503918,0,-,-
1756262022000,0.09314,63.630095,6.8289535,0.0235073,-,-
1756262024000,0.3490462,73.058545,7.330376,0,-,-
1756262026000,0.1516661,73.715355,7.6093455,0,-,-
1756262028000,0.0696379,69.32238,6.829398,0,-,-
1756262030000,0.3261656,74.836645,9.264382,0,-,-
1756262032000,0.1170412,65.53798,6.5035285,0,-,-
1756262034000,0.0696702,72.6327,6.4938595,0,-,-
1756262036000,0.1233958,70.536645,7.051457,0,-,-
1756262038000,0.2520568,70.4643,6.3512535,0,-,-
1756262040000,0.0908037,71.05792,7.005186,0.047259,-,-
1756262042000,0.1162367,73.048245,7.3648455,0,-,-
1756262044000,0.5023652,71.01559,7.66548,0,-,-
1756262046000,0,66.871365,6.63172,0,-,-
1756262048000,0.0464468,69.08349,7.2469155,0,-,-
1756262050000,0.3388556,62.856415,6.0358935,0,-,-
1756262052000,0.1853244,64.109385,7.5785805,0,-,-
1756262054000,0.093985,61.130055,6.491601,0.0234962,-,-
1756262056000,0.4224078,49.93653,5.6287665,0.0232234,-,-
1756262058000,0.0227998,0.2735146,0.2279774,0,-,-
1756262060000,0.0227583,0.113833,0.1365913,0.0227583,-,-
1756262062000,0.1596092,0.5243237,0.2734113,0.0228102,-,-
1756262064000,0,0.295362,0.1817254,0.022748,-,-
1756262066000,0,0.2731515,0.1138122,0.0227583,-,-
1756262068000,0.1593081,0.2503103,0.2047833,0,-,-
1756262070000,0.022748,0.2273968,0.1591943,0,-,-
1756262072000,0.0683683,0.0911059,0.2049493,0.0455788,-,-
1756262074000,0.022748,0.682594,0.159329,0,-,-
1756262076000,0.0682128,0.2045765,0.295465,0,-,-
1756262078000,0.0454339,0.1364052,0.1364052,0.0227686,-,-
1756262080000,0.0909091,0.2954856,0.386374,0,-,-
1756262082000,0,0.2046388,0.295755,0,-,-
1756262084000,0,0,0.2276867,0.0227686,-,-
1756262086000,0.0910956,0.2503108,0.2276456,0,-,-
1756262088000,0.0256673,0.1395107,0.116742,0.0256673,-,-
1756262090000,0.2939846,0.294725,0.2942314,0,-,-
1756262092000,0,0.1135744,0.1818183,0,-,-
1756262094000,0.0683372,0.1594118,0.0683267,0,-,-
1756262096000,0.4298268,0.4291604,0.6556937,0.0904267,-,-
1756262098000,0.022686,0.0680581,0.2046912,0,-,-
1756262100000,0.0227583,0.0911162,0.0227583,0,-,-
1756262102000,0.5634802,2.2280307,0.6087926,0.0225022,-,-
1756262104000,0.0911161,15.027539,2.3437815,0.022779,-,-
1756262106000,0.0237191,75.352525,7.6065405,0,-,-
1756262108000,0.3257299,75.35452,7.22039,0,-,-
1756262110000,0.183532,71.39694,6.8537095,0,-,-
1756262112000,0.0456204,75.70718,7.0171755,0.0236184,-,-
1756262114000,0.368543,67.88991,7.4357475,0,-,-
1756262116000,0.1148462,74.26392,6.354594,0,-,-
1756262118000,0.0234411,67.166625,6.043109,0.0234411,-,-
1756262120000,0.4120914,76.39904,8.1477305,0,-,-
1756262122000,0.0468384,72.958715,7.144359,0,-,-
1756262124000,0.0692321,62.499015,6.129186,0,-,-
1756262126000,0.1569787,67.79483,7.4013755,0,-,-
1756262128000,0.2769126,73.81496,8.5346085,0.023084,-,-
1756262130000,0.0231804,73.377245,9.5081575,0,-,-
1756262132000,0.0952492,65.440215,6.375564,0,-,-
1756262134000,0.4097139,70.694355,9.475728,0,-,-
1756262136000,0.1556247,71.57489,8.300162,0,-,-
1756262138000,0.0469704,69.289525,7.2140035,0,-,-
1756262140000,0.2078422,69.85462,9.4809505,0,-,-
1756262142000,0.304099,69.053195,8.0231895,0,-,-
1756262144000,0.0924922,71.37423,7.2576235,0,-,-
1756262146000,0.0466951,69.172945,7.4860865,0,-,-
1756262148000,0.3189098,70.923885,9.7494655,0.0228624,-,-
1756262150000,0.1125619,64.513245,6.865057,0,-,-
1756262152000,0.0935507,66.479905,7.1002115,0,-,-
1756262154000,0.2315555,65.007085,8.190831,0,-,-
1756262156000,0.1854428,70.548555,7.9490225,0,-,-
1756262158000,0.0229674,72.082145,7.9866555,0.0232234,-,-
1756262160000,0.1624276,60.517065,6.8900695,0,-,-
1756262162000,0.4970652,65.53105,9.2810505,0.0225124,-,-
1756262164000,0.0483092,70.588825,9.100697,0,-,-
1756262166000,0.088574,66.83266,8.016836,0,-,-
1756262168000,0.5626011,64.961325,8.4747545,0,-,-
1756262170000,0.321125,68.45407,8.0934115,0,-,-
1756262172000,0.0940638,58.00829,6.6140565,0,-,-
1756262174000,0.1586582,63.074065,7.7274285,0,-,-
1756262176000,0.5959973,68.25864,8.963741,0,-,-
1756262178000,0.1167755,53.93243,7.4853315,0.0227583,-,-
1756262180000,0.0233535,46.82386,5.2658695,0,-,-
1756262182000,0.0227376,0.1683498,0.0743372,0.0257998,-,-
1756262184000,0.0227686,0.1593392,0.0682852,0,-,-
1756262186000,0,0.1591943,0.1591322,0,-,-
1756262188000,0.0910747,0.2956616,0.3411989,0.0227272,-,-
1756262190000,0,0.1139578,0.0455686,0,-,-
1756262192000,0.135808,0.2266562,0.067904,0,-,-
1756262194000,0.1587816,0.3403422,0.2948361,0,-,-
1756262196000,0,0.1139472,0.1366951,0,-,-
1756262198000,0.0908265,0.2045147,0.249928,0,-,-
1756262200000,0.0682128,0.1364878,0.1364878,0.0227376,-,-
1756262202000,0.0226654,0.3628948,0.1589057,0,-,-
