timestamp,load1 (threads),load5 (threads),load15 (threads),anomaly%,annotations
1756261804000,0.11,0.12,0.16,-,-
1756261806000,0.1114934,0.1204267,0.16,-,-
1756261808000,0.1144802,0.12128,0.16,-,-
1756261810000,0.117467,0.1221334,0.16,-,-
1756261812000,0.1424802,0.12928,0.16,-,-
1756261814000,0.1674934,0.1364267,0.16,-,-
1756261816000,0.176,0.14,0.16,-,-
1756261818000,0.168,0.14,0.16,-,-
1756261820000,0.16,0.14,0.16,-,-
1756261822000,0.156,0.136,0.16,-,-
1756261824000,0.152,0.132,0.16,-,-
1756261826000,0.148,0.13,0.16,-,-
1756261828000,0.144,0.13,0.16,-,-
1756261830000,0.14,0.13,0.16,-,-
1756261832000,0.132,0.13,0.16,-,-
1756261834000,0.124,0.13,0.16,-,-
1756261836000,0.118,0.128,0.16,-,-
1756261838000,0.114,0.124,0.16,-,-
1756261840000,0.11,0.12,0.16,-,-
1756261842000,0.234,0.148,0.168,-,-
1756261844000,0.358,0.176,0.176,-,-
1756261846000,0.462,0.198,0.182,-,-
1756261848000,0.546,0.214,0.186,-,-
1756261850000,0.63,0.23,0.19,-,-
1756261852000,0.6278627,0.23,0.19,-,-
1756261854000,0.6257254,0.23,0.19,-,-
1756261856000,0.6157254,0.23,0.19,-,-
1756261858000,0.5978627,0.23,0.19,-,-
1756261860000,0.58,0.23,0.19,-,-
1756261862000,0.56,0.23,0.19,-,-
1756261864000,0.54,0.23,0.19,-,-
1756261866000,0.514,0.228,0.19,-,-
1756261868000,0.482,0.224,0.19,-,-
1756261870000,0.45,0.22,0.19,-,-
1756261872000,0.466,0.224,0.19,-,-
1756261874000,0.482,0.228,0.19,-,-
1756261876000,0.482,0.23,0.19,-,-
1756261878000,0.466,0.23,0.19,-,-
1756261880000,0.45,0.23,0.19,-,-
1756261882000,0.438,0.226,0.19,-,-
1756261884000,0.426,0.222,0.19,-,-
1756261886000,0.412,0.22,0.19,-,-
1756261888000,0.396,0.22,0.19,-,-
1756261890000,0.38,0.22,0.19,-,-
1756261892000,0.368,0.22,0.19,-,-
1756261894000,0.356,0.22,0.19,-,-
1756261896000,0.344,0.218,0.188,-,-
1756261898000,0.332,0.214,0.184,-,-
1756261900000,0.32,0.21,0.18,-,-
