timestamp,Committed_AS (mebibytes),anomaly%,annotations
1755920229000,14638.656,-,-
1755920230000,14239.762,-,-
1755920231000,14160.273,-,-
1755920232000,14117.992,-,-
1755920233000,12663.875,-,-
1755920234000,3254.785,-,-
1755920235000,3254.785,-,-
1755920236000,3254.785,-,-
1755920237000,3243.383,-,-
1755920238000,3243.383,-,-
1755920239000,3243.383,-,-
1755920240000,3243.383,-,-
1755920241000,3243.383,-,-
1755920242000,3249.898,-,-
1755920243000,3249.902,-,-
1755920244000,3249.902,-,-
1755920245000,3243.387,-,-
1755920246000,3243.387,-,-
1755920247000,3243.387,-,-
1755920248000,3243.387,-,-
1755920249000,-,-,-
1755920250000,-,-,-
1755920251000,-,-,-
1755920252000,3243.387,-,-
1755920253000,3243.387,-,-
1755920254000,3243.387,-,-
1755920255000,3243.551,-,-
1755920256000,3243.551,-,-
1755920257000,3243.551,-,-
1755920258000,3243.551,-,-
1755920259000,3243.551,-,-
1755920260000,3243.551,-,-
1755920261000,3243.551,-,-
1755920262000,3243.551,-,-
1755920263000,3243.551,-,-
1755920264000,3243.551,-,-
1755920265000,3243.551,-,-
1755920266000,3243.551,-,-
1755920267000,3243.551,-,-
1755920268000,3243.551,-,-
1755920269000,3243.551,-,-
1755920270000,3243.551,-,-
1755920271000,3243.551,-,-
1755920272000,3243.551,-,-
1755920273000,3243.551,-,-
1755920274000,3243.551,-,-
1755920275000,3242.82,-,-
1755920276000,3243.551,-,-
1755920277000,3243.551,-,-
1755920278000,3248.355,-,-
1755920279000,3248.355,-,-
1755920280000,3248.352,-,-
1755920281000,3248.352,-,-
1755920282000,3245.094,-,-
1755920283000,3245.094,-,-
1755920284000,3245.094,-,-
1755920285000,-,-,-
1755920286000,-,-,-
1755920287000,-,-,-
1755920288000,3245.096,-,-
1755920289000,3245.098,-,-
1755920290000,3245.098,-,-
1755920291000,3245.441,-,-
1755920292000,3245.441,-,-
1755920293000,3245.441,-,-
1755920294000,3245.441,-,-
1755920295000,3245.441,-,-
1755920296000,3245.441,-,-
1755920297000,3245.441,-,-
1755920298000,3245.441,-,-
1755920299000,3245.441,-,-
1755920300000,3245.441,-,-
1755920301000,3245.441,-,-
1755920302000,3245.441,-,-
1755920303000,3245.441,-,-
1755920304000,3245.441,-,-
1755920305000,3245.441,-,-
1755920306000,3245.441,-,-
1755920307000,3245.441,-,-
1755920308000,3245.406,-,-
1755920309000,3245.406,-,-
1755920310000,3245.406,-,-
1755920311000,3245.438,-,-
1755920312000,3245.438,-,-
1755920313000,3245.438,-,-
1755920314000,3245.438,-,-
1755920315000,3245.438,-,-
1755920316000,3245.438,-,-
1755920317000,3245.438,-,-
1755920318000,3245.438,-,-
1755920319000,3245.438,-,-
1755920320000,3245.441,-,-
1755920321000,-,-,-
1755920322000,-,-,-
1755920323000,-,-,-
1755920324000,3245.441,-,-
1755920325000,3245.441,-,-
1755920326000,3245.441,-,-
1755920327000,3245.441,-,-
1755920328000,3245.441,-,-
1755920329000,3245.441,-,-
1755920330000,3245.441,-,-
1755920331000,3245.441,-,-
1755920332000,3245.441,-,-
1755920333000,3245.441,-,-
1755920334000,3245.441,-,-
1755920335000,3245.441,-,-
1755920336000,3245.441,-,-
1755920337000,3245.441,-,-
1755920338000,3245.441,-,-
1755920339000,3245.441,-,-
1755920340000,3245.543,-,-
1755920341000,3245.543,-,-
1755920342000,3245.543,-,-
1755920343000,3245.543,-,-
1755920344000,3245.543,-,-
1755920345000,3245.543,-,-
1755920346000,3245.543,-,-
1755920347000,3246.371,-,-
1755920348000,3246.371,-,-
1755920349000,3246.371,-,-
1755920350000,3246.371,-,-
1755920351000,3246.371,-,-
1755920352000,3246.5,-,-
1755920353000,3246.371,-,-
1755920354000,3246.371,-,-
1755920355000,3246.371,-,-
1755920356000,3246.371,-,-
1755920357000,-,-,-
1755920358000,-,-,-
1755920359000,-,-,-
1755920360000,3246.371,-,-
1755920361000,3246.371,-,-
1755920362000,3246.371,-,-
1755920363000,3246.371,-,-
1755920364000,3246.371,-,-
1755920365000,3246.371,-,-
1755920366000,3246.371,-,-
1755920367000,3246.371,-,-
1755920368000,3246.371,-,-
1755920369000,3246.371,-,-
1755920370000,3246.371,-,-
1755920371000,3246.371,-,-
1755920372000,3246.371,-,-
1755920373000,3246.371,-,-
1755920374000,3246.371,-,-
1755920375000,3246.371,-,-
1755920376000,3246.371,-,-
1755920377000,3246.371,-,-
1755920378000,3246.371,-,-
1755920379000,3246.371,-,-
1755920380000,3246.371,-,-
1755920381000,3246.371,-,-
1755920382000,3246.371,-,-
1755920383000,3246.371,-,-
1755920384000,3246.371,-,-
1755920385000,3246.371,-,-
1755920386000,3246.371,-,-
1755920387000,3246.371,-,-
1755920388000,3246.371,-,-
1755920389000,3246.371,-,-
1755920390000,3246.371,-,-
1755920391000,3246.371,-,-
1755920392000,3246.371,-,-
1755920393000,-,-,-
1755920394000,-,-,-
1755920395000,-,-,-
1755920396000,3246.371,-,-
1755920397000,3246.371,-,-
1755920398000,3246.371,-,-
1755920399000,3246.371,-,-
1755920400000,3246.371,-,-
1755920401000,3246.371,-,-
1755920402000,3246.371,-,-
1755920403000,3246.371,-,-
1755920404000,3246.371,-,-
1755920405000,3246.371,-,-
1755920406000,3257.043,-,-
1755920407000,3257.043,-,-
1755920408000,3265.043,-,-
1755920409000,3264.145,-,-
1755920410000,3264.145,-,-
1755920411000,3264.145,-,-
1755920412000,3254.371,-,-
1755920413000,3254.371,-,-
1755920414000,3254.371,-,-
1755920415000,3264.145,-,-
1755920416000,3506.473,-,-
1755920417000,3536.727,-,-
1755920418000,12145.539,-,-
1755920419000,12207.344,-,-
1755920420000,12449.652,-,-
1755920421000,12748.668,-,-
1755920422000,12812.23,-,-
1755920423000,13028.629,-,-
1755920424000,13121.48,-,-
1755920425000,13137.926,-,-
1755920426000,13204.379,-,-
1755920427000,13451.664,-,-
1755920428000,-,-,-
1755920429000,-,-,-
1755920430000,-,-,-
1755920431000,13556.949,-,-
1755920432000,13663.395,-,-
1755920433000,13775.016,-,-
1755920434000,13751.293,-,-
1755920435000,14110.316,-,-
1755920436000,14110.285,-,-
1755920437000,14110.285,-,-
1755920438000,14777.406,-,-
1755920439000,14777.406,-,-
1755920440000,14673.5,-,-
1755920441000,14099.254,-,-
1755920442000,14188.352,-,-
1755920443000,14149.84,-,-
1755920444000,14300.297,-,-
1755920445000,14325.375,-,-
1755920446000,14325.375,-,-
1755920447000,14331.973,-,-
1755920448000,14333.707,-,-
1755920449000,14333.707,-,-
1755920450000,14333.707,-,-
1755920451000,14333.707,-,-
1755920452000,14325.562,-,-
1755920453000,14325.562,-,-
1755920454000,14325.562,-,-
1755920455000,14325.562,-,-
1755920456000,14325.562,-,-
1755920457000,14325.57,-,-
1755920458000,14325.57,-,-
1755920459000,14325.57,-,-
1755920460000,14325.57,-,-
1755920461000,14325.57,-,-
1755920462000,14325.57,-,-
1755920463000,14325.57,-,-
1755920464000,-,-,-
1755920465000,-,-,-
1755920466000,-,-,-
1755920467000,14325.57,-,-
1755920468000,14325.57,-,-
1755920469000,14325.57,-,-
1755920470000,14325.57,-,-
1755920471000,14325.57,-,-
1755920472000,14325.57,-,-
1755920473000,14325.57,-,-
1755920474000,14325.57,-,-
1755920475000,14325.57,-,-
1755920476000,14325.57,-,-
1755920477000,14325.57,-,-
1755920478000,14325.57,-,-
1755920479000,14325.57,-,-
1755920480000,14325.57,-,-
1755920481000,14325.57,-,-
1755920482000,14325.57,-,-
1755920483000,14325.57,-,-
1755920484000,14325.57,-,-
1755920485000,14325.57,-,-
1755920486000,14325.57,-,-
1755920487000,14325.57,-,-
1755920488000,14325.57,-,-
1755920489000,14325.57,-,-
1755920490000,14325.57,-,-
1755920491000,14325.57,-,-
1755920492000,14325.57,-,-
1755920493000,14325.574,-,-
1755920494000,14325.574,-,-
