timestamp,softirq (percent),user (percent),system (percent),iowait (percent),anomaly%,annotations
1755920229000,0.0913659,1.735952,4.93376,0,-,-
1755920230000,0.408905,3.725579,0.9995457,0.408905,-,-
1755920231000,0.4484305,5.201794,2.556054,0.1345291,-,-
1755920232000,0.0905387,4.798551,1.4033499,0.0452694,-,-
1755920233000,0.5437245,5.890349,0.5890349,0.0906208,-,-
1755920234000,0.3199269,0.7769653,1.5996344,0.0457038,-,-
1755920235000,0,1.2300683,0.1822323,0,-,-
1755920236000,0.2275831,0.1365498,0.7282658,0,-,-
1755920237000,0,0.0909504,0.1364256,0,-,-
1755920238000,0,0.136612,0.4098361,0,-,-
1755920239000,0.0454752,0.0909504,0.0909504,0.0454752,-,-
1755920240000,0,0.1365498,0.4096495,0,-,-
1755920241000,0.2277904,0.1366743,0.3189066,0,-,-
1755920242000,0.3178928,0.2270663,4.132607,0,-,-
1755920243000,0.2269632,0.3631412,1.724921,0,-,-
1755920244000,0,0.0909918,0.1364877,0,-,-
1755920245000,0,0.0910747,0.273224,0,-,-
1755920246000,0.2275831,0.3641329,0.1820665,0,-,-
1755920247000,0.0455373,0.136612,0.136612,0,-,-
1755920248000,0,0.1820665,0.0455166,0,-,-
1755920249000,-,-,-,-,-,-
1755920250000,-,-,-,-,-,-
1755920251000,-,-,-,-,-,-
1755920252000,0,0.1595954,0.1359252,0,-,-
1755920253000,0,0.1367366,0.2278943,0,-,-
1755920254000,0,0.1610306,0.1932367,0,-,-
1755920255000,0.0454545,0.2272727,0.4545455,0,-,-
1755920256000,0,0.1819836,0.0909918,0,-,-
1755920257000,0,0.0455581,0,0,-,-
1755920258000,0.0454545,0.0909091,0.1363636,0.0454545,-,-
1755920259000,0,0.0910747,0,0,-,-
1755920260000,0.1365498,0.0910332,0.4096495,0,-,-
1755920261000,0,0.0910332,0.0910332,0,-,-
1755920262000,0,0.1362398,0.2724796,0,-,-
1755920263000,0,0.1363636,0.1818182,0,-,-
1755920264000,0,0.0455581,0.0911162,0,-,-
1755920265000,0.0455789,0.2278943,0.1367366,0,-,-
1755920266000,0,0.1818182,0.0909091,0,-,-
1755920267000,0.0454752,0.0909504,0.0909504,0,-,-
1755920268000,0,0.2727273,0.0454545,0,-,-
1755920269000,0,0.0909918,0.0909918,0,-,-
1755920270000,0.0454545,0.3181818,0.3181818,0,-,-
1755920271000,0.0454339,0.1817356,0.0908678,0,-,-
1755920272000,0,0.1364256,0.0909504,0,-,-
1755920273000,0,0.2727273,0.2272727,0,-,-
1755920274000,0,0.0910332,1.411015,0,-,-
1755920275000,0.7674944,0.3160271,1.851016,0.3160271,-,-
1755920276000,0.1365498,0.1365498,4.005462,0.0455166,-,-
1755920277000,0,0.0910332,2.867547,0.0455166,-,-
1755920278000,0.1367989,0.4103967,0.3647971,0,-,-
1755920279000,0,0.2269632,0.1361779,0,-,-
1755920280000,0.0455581,0.1366743,0.3644647,0,-,-
1755920281000,0,0.0909504,0.0909504,0.1819009,-,-
1755920282000,0.0454959,0.0454959,0.1819836,0,-,-
1755920283000,0,0.0456413,0,0,-,-
1755920284000,0.0454752,0.1364256,0.1364256,0.0454752,-,-
1755920285000,-,-,-,-,-,-
1755920286000,-,-,-,-,-,-
1755920287000,-,-,-,-,-,-
1755920288000,0.0906848,0.2494495,0.294659,0.0454752,-,-
1755920289000,0.1364256,0.3638017,0.4547522,0.0454752,-,-
1755920290000,0.0320616,0.2244309,0.1282462,0,-,-
1755920291000,0,0.0910747,0.0455373,0.0455373,-,-
1755920292000,0.0454545,0.2727273,0.3181818,0.0454545,-,-
1755920293000,0.1364877,0,0.1819836,0,-,-
1755920294000,0.0455789,0.0455789,0.1823154,0.0455789,-,-
1755920295000,0,0.0455166,0.0455166,0,-,-
1755920296000,0,0.0454959,0.0909918,0,-,-
1755920297000,0,0.0454959,0.1819836,0,-,-
1755920298000,0,0,0.2276867,0,-,-
1755920299000,0.2728513,0,0.2273761,0,-,-
1755920300000,0,0,0.0910747,0,-,-
1755920301000,0,0.0454752,0.1364256,0,-,-
1755920302000,0,0,0.0455581,0,-,-
1755920303000,0,0.0455789,0.0455789,0,-,-
1755920304000,0.1367989,0.0911993,0.1367989,0,-,-
1755920305000,0,0,0.1365498,0,-,-
1755920306000,0,0.0455373,0.0455373,0,-,-
1755920307000,0,0.1817356,0.1363017,0,-,-
1755920308000,0.0910332,0.0910332,0.2275831,0,-,-
1755920309000,0.0455581,0.1366743,0.4100228,0,-,-
1755920310000,0,0.0454959,0.1819836,0.0454959,-,-
1755920311000,0,0.0455581,0.0911162,0.0455581,-,-
1755920312000,0,0.0910747,0.0455373,0,-,-
1755920313000,0,0,0.0455789,0,-,-
1755920314000,0.1818182,0.1363636,0.2727273,0,-,-
1755920315000,0,0,0.1365498,0,-,-
1755920316000,0,0.1820665,0,0,-,-
1755920317000,0,0.0454959,0.1364877,0,-,-
1755920318000,0.0454545,0.1818182,0.0909091,0,-,-
1755920319000,0.0911577,0.1367366,0.1367366,0,-,-
1755920320000,0,0,0.0455373,0,-,-
1755920321000,-,-,-,-,-,-
1755920322000,-,-,-,-,-,-
1755920323000,-,-,-,-,-,-
1755920324000,0.0226254,0.0226254,0.0907881,0,-,-
1755920325000,0.0455373,0.0455373,0.136612,0,-,-
1755920326000,0,0.064288,0.032144,0,-,-
1755920327000,0.0455581,0.0455581,0.3644647,0,-,-
1755920328000,0.0454752,0.0454752,0.0909504,0,-,-
1755920329000,0.0454959,0.0454959,0.0909918,0,-,-
1755920330000,0,0.0909918,0.0909918,0.0454959,-,-
1755920331000,0,0.0909918,0.1364877,0,-,-
1755920332000,0.2724796,0.0454133,0.3633061,0,-,-
1755920333000,0,0.0455581,0.0455581,0,-,-
1755920334000,0,0.0455166,0.0910332,0,-,-
1755920335000,0,0.0454959,0.1364877,0,-,-
1755920336000,0,0.0454959,0.0454959,0.0454959,-,-
1755920337000,0.1366743,0.2733485,0.2733485,0,-,-
1755920338000,0,0.0910332,0.0455166,0,-,-
1755920339000,0,0.0910747,0,0,-,-
1755920340000,0,0.0455166,0.0910332,0,-,-
1755920341000,0,0.2272727,0.1363636,0,-,-
1755920342000,0.0455166,0.1365498,0.4096495,0,-,-
1755920343000,0.0910332,0.1365498,0,0.0455166,-,-
1755920344000,0.1358081,0.6337709,0.2716161,0.2716161,-,-
1755920345000,0,0,0.1364877,0,-,-
1755920346000,0,0.0455166,0.1820665,0.0910332,-,-
1755920347000,0.3184713,0.1364877,0.1364877,0,-,-
1755920348000,0.0454545,0.1363636,0.2272727,0,-,-
1755920349000,0,0.1364877,0.0909918,0,-,-
1755920350000,0,0.4984141,0.1812415,0.0453104,-,-
1755920351000,0,0.0454959,0.0909918,0,-,-
1755920352000,0.2268603,0.1814882,0.3176044,0,-,-
1755920353000,0.0910332,0.0910332,0.0455166,0,-,-
1755920354000,0,0.0909504,0.1819009,0,-,-
1755920355000,0,0.0455166,0.0910332,0,-,-
1755920356000,0.0453104,0.4531038,0.3171726,0,-,-
1755920357000,-,-,-,-,-,-
1755920358000,-,-,-,-,-,-
1755920359000,-,-,-,-,-,-
1755920360000,0.1356364,0.2957541,0.3627344,0,-,-
1755920361000,0.2271695,0.1363017,0.408905,0,-,-
1755920362000,0.0321647,0.096494,0.096494,0,-,-
1755920363000,0,0.1363636,0.1363636,0,-,-
1755920364000,0,0.4090909,0.1363636,0,-,-
1755920365000,0,0.0910332,0.0455166,0.0910332,-,-
1755920366000,0.136612,0.1821494,0.1821494,0,-,-
1755920367000,0,0.1364256,0.0909504,0,-,-
1755920368000,0,0.0910332,0.0910332,0,-,-
1755920369000,0,0.1817356,0.0908678,0,-,-
1755920370000,0,0.0910747,0.0455373,0,-,-
1755920371000,0.2273761,0.1364256,0.4092769,0,-,-
1755920372000,0,0.1364877,0.0909918,0,-,-
1755920373000,0.0454959,0.0454959,0.0909918,0,-,-
1755920374000,0,0.0454545,0.2272727,0,-,-
1755920375000,0,0.0455166,0.1365498,0,-,-
1755920376000,0.3631412,0.1361779,0.4539265,0,-,-
1755920377000,0,0.0909504,0.0909504,0,-,-
1755920378000,0,0.0910747,0.0910747,0,-,-
1755920379000,0,0.6790403,0.0452694,0,-,-
1755920380000,0,0.0454752,0.1364256,0,-,-
1755920381000,0.4079782,0.2719855,0.2719855,0.0453309,-,-
1755920382000,0,0.0454752,0.1364256,0,-,-
1755920383000,0,0.0909091,0.1818182,0,-,-
1755920384000,0,0.0908265,0.2270663,0,-,-
1755920385000,0,0.1364256,0.0909504,0,-,-
1755920386000,0.4533092,0.2719855,0.2266546,0,-,-
