timestamp,load1 (threads),load5 (threads),load15 (threads),anomaly%,annotations
1755920229000,0.7,0.44,2.46,-,-
1755920230000,0.7,0.44,2.46,-,-
1755920231000,0.688,0.438,2.456,-,-
1755920232000,0.676,0.436,2.452,-,-
1755920233000,0.664,0.434,2.448,-,-
1755920234000,0.652,0.432,2.444,-,-
1755920235000,0.64,0.43,2.44,-,-
1755920236000,0.6380968,0.4298097,2.4396194,-,-
1755920237000,0.6361936,0.4296194,2.4392388,-,-
1755920238000,0.6342905,0.429429,2.4388582,-,-
1755920239000,0.6323873,0.4292387,2.4384776,-,-
1755920240000,0.6304841,0.4290484,2.438097,-,-
1755920241000,0.6123873,0.4272387,2.4344776,-,-
1755920242000,0.5942905,0.425429,2.4308582,-,-
1755920243000,0.5761936,0.4236194,2.4272388,-,-
1755920244000,0.5580968,0.4218097,2.4236194,-,-
1755920245000,0.54,0.42,2.42,-,-
1755920246000,0.54,0.42,2.42,-,-
1755920247000,0.54,0.42,2.42,-,-
1755920248000,0.54,0.42,2.42,-,-
1755920249000,0.54,0.42,2.42,-,-
1755920250000,0.54,0.42,2.42,-,-
1755920251000,0.524,0.416,2.414,-,-
1755920252000,0.508,0.412,2.408,-,-
1755920253000,0.492,0.408,2.402,-,-
1755920254000,0.476,0.404,2.396,-,-
1755920255000,0.46,0.4,2.39,-,-
1755920256000,0.452,0.4,2.388,-,-
1755920257000,0.444,0.4,2.386,-,-
1755920258000,0.436,0.4,2.384,-,-
1755920259000,0.428,0.4,2.382,-,-
1755920260000,0.42,0.4,2.38,-,-
1755920261000,0.4194291,0.3998097,2.3796194,-,-
1755920262000,0.4188581,0.3996194,2.3792388,-,-
1755920263000,0.4182872,0.399429,2.3788582,-,-
1755920264000,0.4177162,0.3992387,2.3784776,-,-
1755920265000,0.4171453,0.3990484,2.378097,-,-
1755920266000,0.4117162,0.3972387,2.3744776,-,-
1755920267000,0.4062872,0.395429,2.3708582,-,-
1755920268000,0.4008581,0.3936194,2.3672388,-,-
1755920269000,0.3954291,0.3918097,2.3636194,-,-
1755920270000,0.39,0.39,2.36,-,-
1755920271000,0.4,0.392,2.36,-,-
1755920272000,0.41,0.394,2.36,-,-
1755920273000,0.42,0.396,2.36,-,-
1755920274000,0.43,0.398,2.36,-,-
1755920275000,0.44,0.4,2.36,-,-
1755920276000,0.448,0.402,2.358,-,-
1755920277000,0.456,0.404,2.356,-,-
1755920278000,0.464,0.406,2.354,-,-
1755920279000,0.472,0.408,2.352,-,-
1755920280000,0.48,0.41,2.35,-,-
1755920281000,0.472,0.408,2.348,-,-
1755920282000,0.464,0.406,2.346,-,-
1755920283000,0.456,0.404,2.344,-,-
1755920284000,0.448,0.402,2.342,-,-
1755920285000,0.44,0.4,2.34,-,-
1755920286000,0.434,0.4,2.336,-,-
1755920287000,0.428,0.4,2.332,-,-
1755920288000,0.422,0.4,2.328,-,-
1755920289000,0.416,0.4,2.324,-,-
1755920290000,0.41,0.4,2.32,-,-
1755920291000,0.402,0.398,2.318,-,-
1755920292000,0.394,0.396,2.316,-,-
1755920293000,0.386,0.394,2.314,-,-
1755920294000,0.378,0.392,2.312,-,-
1755920295000,0.37,0.39,2.31,-,-
1755920296000,0.369429,0.3898097,2.3098096,-,-
1755920297000,0.3688581,0.3896194,2.3096192,-,-
1755920298000,0.3682871,0.389429,2.3094288,-,-
1755920299000,0.3677162,0.3892387,2.3092384,-,-
1755920300000,0.3671452,0.3890484,2.309048,-,-
1755920301000,0.3617162,0.3872387,2.3072384,-,-
1755920302000,0.3562871,0.385429,2.3054288,-,-
1755920303000,0.3508581,0.3836194,2.3036192,-,-
1755920304000,0.345429,0.3818097,2.3018096,-,-
1755920305000,0.34,0.38,2.3,-,-
1755920306000,0.336,0.38,2.298,-,-
1755920307000,0.332,0.38,2.296,-,-
1755920308000,0.328,0.38,2.294,-,-
1755920309000,0.324,0.38,2.292,-,-
1755920310000,0.32,0.38,2.29,-,-
1755920311000,0.314,0.378,2.286,-,-
1755920312000,0.308,0.376,2.282,-,-
1755920313000,0.302,0.374,2.278,-,-
1755920314000,0.296,0.372,2.274,-,-
1755920315000,0.29,0.37,2.27,-,-
1755920316000,0.2883359,0.369168,2.269168,-,-
1755920317000,0.2866719,0.3683359,2.268336,-,-
1755920318000,0.2850078,0.3675039,2.267504,-,-
1755920319000,0.2833438,0.3666718,2.266672,-,-
1755920320000,0.2816797,0.3658398,2.26584,-,-
1755920321000,0.2793438,0.3646718,2.264672,-,-
1755920322000,0.2770078,0.3635039,2.263504,-,-
1755920323000,0.2746719,0.3623359,2.262336,-,-
1755920324000,0.2723359,0.361168,2.261168,-,-
1755920325000,0.27,0.36,2.26,-,-
1755920326000,0.266,0.36,2.258,-,-
1755920327000,0.262,0.36,2.256,-,-
1755920328000,0.258,0.36,2.254,-,-
