timestamp,free (mebibytes),used (mebibytes),cached (mebibytes),buffers (mebibytes),anomaly%,annotations
1755920229000,158.55469,5836.688,1667.0625,15.628906,-,-
1755920230000,444.6406,5479.551,1738.113,15.628906,-,-
1755920231000,346.457,5484.734,1831.113,15.628906,-,-
1755920232000,288.418,5521.328,1852.559,15.628906,-,-
1755920233000,1125.9062,4667.32,1869.078,15.628906,-,-
1755920234000,4872.758,919.2891,1870.258,15.628906,-,-
1755920235000,4872.809,919.043,1870.453,15.628906,-,-
1755920236000,4871.434,920.418,1870.453,15.628906,-,-
1755920237000,4872.547,919.3047,1870.453,15.628906,-,-
1755920238000,4873.441,918.4102,1870.453,15.628906,-,-
1755920239000,4873.289,918.5508,1870.453,15.640625,-,-
1755920240000,4744.398,1047.457,1870.438,15.640625,-,-
1755920241000,4871.973,919.8828,1870.438,15.640625,-,-
1755920242000,4871.199,920.6562,1870.438,15.640625,-,-
1755920243000,4870.617,921.2383,1870.438,15.640625,-,-
1755920244000,4870.227,921.6289,1870.438,15.640625,-,-
1755920245000,4871.25,920.6055,1870.438,15.640625,-,-
1755920246000,4870.367,921.4883,1870.438,15.640625,-,-
1755920247000,4871.816,920.0391,1870.438,15.640625,-,-
1755920248000,4872.875,918.9805,1870.438,15.640625,-,-
1755920249000,-,-,-,-,-,-
1755920250000,-,-,-,-,-,-
1755920251000,-,-,-,-,-,-
1755920252000,4872.707,919.1489,1870.438,15.640625,-,-
1755920253000,4872.535,919.3203,1870.438,15.640625,-,-
1755920254000,4874.105,917.75,1870.438,15.640625,-,-
1755920255000,4875.219,916.6367,1870.438,15.640625,-,-
1755920256000,4873.355,918.5,1870.438,15.640625,-,-
1755920257000,4873.883,917.9727,1870.438,15.640625,-,-
1755920258000,4874.809,917.0469,1870.43,15.648438,-,-
1755920259000,4874.652,917.1953,1870.438,15.648438,-,-
1755920260000,4871.086,920.7305,1870.469,15.648438,-,-
1755920261000,4870.922,920.8945,1870.469,15.648438,-,-
1755920262000,4872.227,919.5898,1870.469,15.648438,-,-
1755920263000,4871.562,920.2539,1870.469,15.648438,-,-
1755920264000,4872.113,919.7031,1870.469,15.648438,-,-
1755920265000,4873.152,918.6641,1870.469,15.648438,-,-
1755920266000,4872.891,918.9258,1870.469,15.648438,-,-
1755920267000,4873.285,918.5312,1870.469,15.648438,-,-
1755920268000,4874.312,917.5039,1870.469,15.648438,-,-
1755920269000,4873.434,918.3828,1870.469,15.648438,-,-
1755920270000,4874.035,917.7812,1870.469,15.648438,-,-
1755920271000,4874.102,917.7148,1870.469,15.648438,-,-
1755920272000,4873.867,917.9492,1870.469,15.648438,-,-
1755920273000,4873.98,917.8203,1870.477,15.65625,-,-
1755920274000,4890.27,917.0195,1869.973,0.671875,-,-
1755920275000,6321.898,920.1875,434.9141,0.9335938,-,-
1755920276000,6318.879,921.2852,436.7031,1.0664062,-,-
1755920277000,6320.434,919.7305,436.7031,1.0664062,-,-
1755920278000,6313.875,925.4258,437.5664,1.0664062,-,-
1755920279000,6314.328,924.9727,437.5664,1.0664062,-,-
1755920280000,6314.242,924.9609,437.6641,1.0664062,-,-
1755920281000,6315.277,923.918,437.6641,1.0742188,-,-
1755920282000,6314.363,924.832,437.6641,1.0742188,-,-
1755920283000,6315.418,923.7266,437.7148,1.0742188,-,-
1755920284000,6313.461,923.8359,439.4297,1.2070312,-,-
1755920285000,-,-,-,-,-,-
1755920286000,-,-,-,-,-,-
1755920287000,-,-,-,-,-,-
1755920288000,6312.778,924.5096,439.4316,1.2147973,-,-
1755920289000,6312.086,925.1914,439.4336,1.2226562,-,-
1755920290000,6313.227,924.043,439.4414,1.2226562,-,-
1755920291000,6313.059,924.2109,439.4375,1.2265625,-,-
1755920292000,6309.902,923.7539,443.0469,1.2304688,-,-
1755920293000,6308.68,924.793,443.2305,1.2304688,-,-
1755920294000,6308.812,924.6602,443.2227,1.2382812,-,-
1755920295000,6308.891,924.5625,443.2305,1.25,-,-
1755920296000,6309.875,923.5781,443.2305,1.25,-,-
1755920297000,6309.434,924.0195,443.2305,1.25,-,-
1755920298000,6309.582,923.8711,443.2305,1.25,-,-
1755920299000,6310.992,922.4609,443.2305,1.25,-,-
1755920300000,6311.387,922.0664,443.2305,1.25,-,-
1755920301000,6311.035,922.418,443.2305,1.25,-,-
1755920302000,6311.16,922.293,443.2305,1.25,-,-
1755920303000,6310.578,922.875,443.2305,1.25,-,-
1755920304000,6309.953,923.5,443.2305,1.25,-,-
1755920305000,6310.062,923.3906,443.2305,1.25,-,-
1755920306000,6309.855,923.5977,443.2305,1.25,-,-
1755920307000,6308.734,924.7188,443.2305,1.25,-,-
1755920308000,6308.41,924.8984,443.375,1.25,-,-
1755920309000,6307.926,925.3828,443.375,1.25,-,-
1755920310000,6306.992,926.3164,443.3711,1.2539062,-,-
1755920311000,6305.531,927.7695,443.3711,1.2617188,-,-
1755920312000,6307.234,926.0508,443.3867,1.2617188,-,-
1755920313000,6307.918,925.3672,443.3867,1.2617188,-,-
