timestamp,NETWORK-VIEWER (percent),go.d.plugin (percent),sd-unit.plugin (percent),tc-qos-helper (percent),apps.plugin (percent),debugfs.plugin (percent),containerd-shim-runc-v2 (percent),dockerd (percent),containerd (percent),rsyslogd (percent),snapfuse (percent),netdata (percent),packagemanager (percent),kernel (percent),systemd-journald (percent),systemd (percent),desktop (percent),anomaly%,annotations
1755920229000,0,0.7961442,0,0,0.7961499,0,0,0.7961671,0,0,0,3.1846047,0,105.88681,0,0,0,-,-
1755920230000,0,0.9015067,0,0,0,0,0,2.7044353,0,0,0,1.8029712,0,137.01071,0,0,0,-,-
1755920231000,0,0.8631709,0,0,0,0,0,0.8632167,0,0,0,2.5894718,0,121.70831,0,0,0,-,-
1755920232000,0,0.7935449,0,0,0.7935428,0,0,0.7935249,0,0,0,2.3806226,0,114.269967,0,0,0.7934977,-,-
1755920233000,0,0.9000989,0,0.7935492,0,0,0,1.80006,0,0,0,3.6004489,0.9000041,2.699898,0,0.9000373,0,-,-
1755920234000,0,24.0696828,0,0,0,0,0,2.3295358,0,0,0,1.552806,0,0,0,0,0,-,-
1755920235000,0,0.9001191,0,0,0.9001183,0,0,0.9000486,0,0,0,2.700346,0,4.500243,0,0,0,-,-
1755920236000,0,0,0,0,0.6429199,0,0,0.6429089,0,0,0,1.285849,0,1.928796,0,0,0,-,-
1755920237000,0,0.9001775,0,0,0,0,0,1.2001813,0,0,0,2.7004835,0,0,0,0.5999209,0,-,-
1755920238000,0,1.7998754,0.8999352,0,0,0,0,1.79989,0.8999498,0,0,2.6998912,0,0,0,0,0,-,-
1755920239000,0,0.9000794,0,0,0,0,0,0.9000956,0,0,0,1.800149,0,0,0,0,0,-,-
1755920240000,0,1.5313641,0,0,0.7656738,0,0,0.7656289,0,0,0,1.5314317,0,5.3587426,0,0,0,-,-
1755920241000,0,0,0,0,0,0,0,4.4986237,0,0,0,4.49966,0,1.798467,0,0,0,-,-
1755920242000,0,1.800115,0,1.79994,0.9000738,0,0,2.7004712,0,0,0,4.4998562,0,0,0.9000681,0,0.9002585,-,-
1755920243000,0,0.8999547,0,0,0,0,0,0.9001054,0.9001815,0,0,3.5999593,0,0,0,0,0,-,-
1755920244000,0,1.7998462,0,0,0,0,0,1.799655,0,0,0,0,0,0,0,0,0,-,-
1755920245000,0,0,0,0,0,0,0,0.6231443,0,0,0,3.7388293,0,3.1153313,0,0,0,-,-
1755920246000,0,0.899465,0,0.6231331,0.8994269,0,2.6988122,0,0,0,0,1.799132,0,2.6968423,0,0,0,-,-
1755920247000,0,0.5625298,0,0,0,0,0,2.250375,0,0,0,1.68759,0,0,0,0,0,-,-
1755920248000,0,0,0,0,0,0,0,1.801448,0,0,0,3.601138,0,0,0,0,0,-,-
1755920249000,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1755920250000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1755920251000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1755920252000,0,0.3583932,0,0,0,0,0,1.4420693,0.3582546,0,0,3.2419384,0,0,0,0,0,-,-
1755920253000,0,0.8996211,0,0,0,0,0,0.8993533,0.8992732,0,0,2.6994949,0,0,0,0,0,-,-
1755920254000,0,0.9001135,0,0,0.9001604,0,0,2.7013711,0,0,0,2.7001846,0,6.304949,0,0,0,-,-
1755920255000,0,0,0,0,0,0,0,0,0,0,0,2.6998553,0,0,0,0,0,-,-
1755920256000,0,0.179964,0,0.9000041,0,0,0,0.2699268,0,0,0,0.3599404,0,0,0,0.0899765,0,-,-
1755920257000,0,0,0,0,0,0,0,1.800447,0,0,0,1.799966,0,0,0,0,0.9002998,-,-
1755920258000,0,0.2248509,0,0,0.2248438,0,0,0.2247803,0,0,0,0.2248693,0,0,0,0,0,-,-
1755920259000,0,0,0,0,0,0,0,0.7715758,0,0,0,3.0861352,0,6.1726959,0,0,0,-,-
1755920260000,0,0.5399787,0,0.7715091,0,0,0,0,0,0,0,1.6199964,0,0,0,0,0,-,-
1755920261000,0,0,0,0.5399981,0,0,0,1.7999418,0,0,0,0.9000252,0,0,0,0,0,-,-
1755920262000,0,0.8999936,0,0,0.9000041,0,0,1.3501038,0,0,0,2.6999492,0,0,0,0,0,-,-
1755920263000,0,0,0,0.4501256,0,0,0,1.8004575,0,0,0,1.8002814,0,0,0,0,0,-,-
1755920264000,0,0.5723214,0,0,0,0,0,0.5721284,0.5720352,0,0,0.5724342,0,3.4312739,0.5722977,0,0,-,-
1755920265000,0,0,0,0,0.9003809,0,0,1.8013344,0,0,0,0.9000478,0,0,0,0,0,-,-
1755920266000,0,0.8993431,0,0,0.899335,0,0,0,0,0,0,1.798903,0,0,0,0,0,-,-
1755920267000,0,0.7877845,0,0,0,0,0,0.7878214,0,0,0,3.9387336,0,0,0,0,0.7879122,-,-
1755920268000,0.9000397,0,0,0,0,0,0,0.9001572,0,0,0,0.8999903,0,0,0,0,0,-,-
1755920269000,0,0.9001013,0,0.9000025,0,0,0,2.7009629,0,0,0,1.8001191,0,5.403054,0,0,0,-,-
1755920270000,0,0,0,0,0.8999506,0,0,0.899996,0,0,0,1.79986,0,0,0,0,0,-,-
1755920271000,0,0.9001451,0,0,0,0,0,2.250206,0,0,0,1.3499368,0,0,0,0,0,-,-
1755920272000,0,0.8996567,0,0,0,0,0,0.8992724,0,0,0,1.7991235,3.5965947,0,0,0.8999944,0,-,-
1755920273000,0,0,0,0,0,0,0,0.9007386,0.9008513,0,0,3.6007987,0,0.9011152,0,0,0,-,-
1755920274000,0,0,0,0,0,0,0,3.5976692,0,0.8993137,0,2.6997686,0,10.79028,0.8991964,0,0.8992959,-,-
1755920275000,0,0,0,0.899885,0.9002577,0,0,2.7012542,0,0,0,0.9003082,0,0,0,0,0,-,-
1755920276000,0,0.9000122,0,0,0,0,0,1.8002236,0,0,0,4.500303,0,0,0,0,0,-,-
1755920277000,0,1.7984932,0,0.8999239,0.8992466,0,0,0.8991285,0,0,0,7.194944,2.697189,0,0,0,0,-,-
1755920278000,0,0,0,0,0,0,0,1.800107,0,0,0,0.8999676,0,0,0,0,0,-,-
1755920279000,0,0.7617698,0,0,0.7617746,0,0,0,0,0,0,2.284942,0,6.094384,0,0,0,-,-
1755920280000,0,0,0,0,0,0,0,1.799976,0,0,0,1.799953,0,0,0,0,0,-,-
1755920281000,0,0.8998512,0,0,0,0,0,1.799672,0,0,0,1.799821,0,0,0,0,0,-,-
1755920282000,0,0.5141781,0,0,0,0,0,0.1285234,0.1285183,0,0,0.1285475,0,0,0,0,0,-,-
1755920283000,0,1.285104,0,0,0,0,0,0.6424699,0,0,0,1.2853608,0,0,0.6425341,0.6424422,0,-,-
1755920284000,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1755920285000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1755920286000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1755920287000,0,1.0973473,0.3253512,0,0.3253597,0,0,0.7113905,1.6273215,0,0,2.0733553,0,2.2787217,0.3859909,0.7114301,0,-,-
1755920288000,0,0.8148517,0.8148694,0,0.8148906,0,0,0.8150873,4.075763,0,0,3.2589591,0,5.7072505,0,0.8152282,0,-,-
1755920289000,0,0.9001767,0,0,0.9001953,0,0,2.7009406,0,0,0,0.9001029,0,0,0,0,0,-,-
1755920290000,0,0,0,0,0,0,0,1.6203054,0,0,0,1.0801102,0,0,0,0,0,-,-
1755920291000,0,0.5398922,0,0,0,0,0,0.5398737,0,0,0,1.6197165,0,0,0,0,0,-,-
1755920292000,0,0,0,0,0,0,5.395757,0.8995467,0.8994989,0,0,1.7999288,0,0,0,0,0.8994811,-,-
1755920293000,0,0,0,0,0,0,0,0.6302769,0,0,0,0.6300704,0,5.0425519,0,0,0,-,-
1755920294000,0,0.6748541,0,0,0,0,0,0.6748134,0,0,0,1.3497834,0,0,0,0,0,-,-
1755920295000,0,0,0,0,0.6001653,0,0,0,0,0,0,1.2002625,0,0,0,0,0,-,-
1755920296000,0,0,0,0,0.7499547,0,0,2.2495988,0,0,0,1.4998878,0,0,0,0,0,-,-
1755920297000,0,0.4501697,0,0,0,0,0,0.9004684,0.450256,0,0,0.9002362,0,0,0,0,0,-,-
1755920298000,0,0.6541636,0,0,0,0,0,0,0,0,0,1.3084922,0,4.575968,0,0,0,-,-
1755920299000,0,0,0,0.6542108,0,0,0,0.900599,0,0,0,0,0,0,0,0,0,-,-
1755920300000,0,0,0,0.9001459,0,0,0,0,0,0,0,2.2490395,0,0,0.4497848,0,0,-,-
1755920301000,0,0.3000717,0,0,0.3000763,0,0,0.600192,0,0,0,0.6000959,0,0,0,0,0,-,-
1755920302000,0,0.3000381,0,0,0,0,0,0.3000584,0,0,0,0.3000354,0,0,0,0,0,-,-
1755920303000,0,0,0,0,0,0,0,0.4153429,0,0,0,1.2460367,0,3.7377166,0,0,0,-,-
1755920304000,0,0.3857234,0,0,0,0,0,0.7714016,0,0,0,1.1571591,0,0,0,0,0.3856939,-,-
1755920305000,0,0,0,0,0,0,0,0,0,0,0,1.8002755,0,0,0,0,0,-,-
1755920306000,0,0,0,0,0.8999749,0,0,1.799922,0,0,0,0.9000009,0,0,0,0,0,-,-
1755920307000,0,0.9000195,0,0,0,0,0,2.7001141,0,0,0,4.500038,0,0,0,0,0,-,-
1755920308000,0,0,0,0,0,0,0,0,0.8991128,0,0,2.6987062,0,6.2929415,0,0,0,-,-
1755920309000,0,0,0,0,0,0,0,3.1492771,0,0,0,3.14959,0,0,0,0,0,-,-
1755920310000,0,0.4505786,0,0,0.2253065,0,0,0,0,0,0,0.9010173,0,0,0,0,0,-,-
1755920311000,0,0,0,0.2252726,0.7190155,0,0,0.7188066,0,0,0,2.1570401,0,0,0,0,0,-,-
1755920312000,0,0,0,0,0,0,0,0.4500228,0,0,0,0.4501545,0,0,0,0,0,-,-
1755920313000,0,0.7365695,0,0,0,0,0,0,0,0,0,1.4731165,0,5.158828,0,0.7368772,0,-,-
1755920314000,0,0,0,0,0,0,0,0.8996357,0,0,0,0.8997506,0,0,0,0,0,-,-
1755920315000,0,0.7499323,0,0,0.7499316,0,0,0.7498324,0,0,0,2.2497085,0,0,0,0,0,-,-
1755920316000,0,0,0,0,0,0,0,0.450525,0,0,0,1.3509356,0,0,0,0,0,-,-
1755920317000,0,0.8998203,0,0,0,0,0,0.8997102,0,0,0,1.799754,0,0,0,0,0,-,-
1755920318000,0,0,0,0,0,0,0,0.5541512,0,0,0,1.6619348,0,4.4337491,0.5540688,0,0,-,-
1755920319000,0,0,0,0,0,0,0,0,0,0,0,1.7983087,0,0,0,0,0,-,-
1755920320000,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1755920321000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1755920322000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1755920323000,0,0.1026585,0,0,0.1026602,0,0.1026578,0.1026758,0.102689,0,0,1.1832243,0,0,0,0,0.1026937,-,-
1755920324000,0,0.2572115,0,0,0.2572159,0,0.2572099,0.257255,0.2572879,0,0,0.2572103,0,0,0,0,0.2572997,-,-
1755920325000,0,0,0,1.297667,0.8993334,0,0,0,0,0,0,0.8995204,0,0,0,0,0,-,-
1755920326000,0,0,0,0,0,0,0,1.1463848,0,0,0,2.8647906,0,2.293108,0,0,0,-,-
1755920327000,0,0.6430164,0,0,0,0,0,0.6430824,0,0,0,1.2859577,0,1.929439,0,0,0,-,-
1755920328000,0,0,0,0,0.8994965,0,0,0,0,0,0,0.89927,0,0,0,0,0,-,-
1755920329000,0,0.5397185,0,0,0,0,0,0.5396928,0,0,0,1.6194324,0,0,0,0,0,-,-
1755920330000,0,0,0,0,0,0,0,1.800378,0,0,0,1.8000284,0,0,0,0,0,-,-
1755920331000,0,0,0,0,0.9001207,0,0,0.9019441,0,0,0,0.9000762,0,3.602461,0,0,0,-,-
