timestamp,Committed_AS (mebibytes),anomaly%,annotations
1756257492000,3329.129,-,-
1756257494000,3329.129,-,-
1756257496000,3329.129,-,-
1756257498000,3329.129,-,-
1756257500000,3329.129,-,-
1756257502000,3329.129,-,-
1756257504000,3329.129,-,-
1756257506000,3329.129,-,-
1756257508000,3329.129,-,-
1756257510000,3329.129,-,-
1756257512000,3329.129,-,-
1756257514000,3329.129,-,-
1756257516000,3329.129,-,-
1756257518000,3329.129,-,-
1756257520000,3329.129,-,-
1756257522000,3329.129,-,-
1756257524000,3329.129,-,-
1756257526000,3329.129,-,-
1756257528000,3329.129,-,-
1756257530000,3329.129,-,-
1756257532000,3329.129,-,-
1756257534000,3329.129,-,-
1756257536000,3329.129,-,-
1756257538000,3329.129,-,-
1756257540000,3329.129,-,-
1756257542000,3329.129,-,-
1756257544000,3329.129,-,-
1756257546000,3329.129,-,-
1756257548000,3329.129,-,-
1756257550000,3329.129,-,-
1756257552000,3329.129,-,-
1756257554000,3329.129,-,-
1756257556000,3329.129,-,-
1756257558000,3329.129,-,-
1756257560000,3329.129,-,-
1756257562000,3329.129,-,-
1756257564000,3329.129,-,-
1756257566000,3329.129,-,-
1756257568000,3329.129,-,-
1756257570000,3329.129,-,-
1756257572000,3329.129,-,-
1756257574000,3329.129,-,-
1756257576000,3329.129,-,-
1756257578000,3329.129,-,-
1756257580000,3329.129,-,-
1756257582000,3329.129,-,-
1756257584000,3329.129,-,-
1756257586000,3329.129,-,-
1756257588000,3329.129,-,-
1756257590000,3329.129,-,-
1756257592000,3329.129,-,-
1756257594000,3340.109,-,-
1756257596000,3335.3925,-,-
1756257598000,3330.676,-,-
1756257600000,3330.676,-,-
1756257602000,3330.676,-,-
1756257604000,3330.676,-,-
1756257606000,3524.252,-,-
1756257608000,4339.8375,-,-
1756257610000,5096.3085,-,-
1756257612000,5512.8905,-,-
1756257614000,5903.254,-,-
1756257616000,6169.1175,-,-
1756257618000,6654.1305,-,-
1756257620000,7182.7325,-,-
1756257622000,7537.537,-,-
1756257624000,8011.59,-,-
1756257626000,8016.7425,-,-
1756257628000,8945.807,-,-
1756257630000,8647.57,-,-
1756257632000,8985.4745,-,-
1756257634000,9363.5335,-,-
1756257636000,9497.055,-,-
1756257638000,9497.184,-,-
1756257640000,9497.184,-,-
1756257642000,9497.184,-,-
1756257644000,9498.256,-,-
1756257646000,9501.988,-,-
1756257648000,9504.648,-,-
1756257650000,9507.5195,-,-
1756257652000,9511.1645,-,-
1756257654000,9511.938,-,-
1756257656000,9498.734,-,-
1756257658000,9498.73,-,-
1756257660000,9569.5625,-,-
1756257662000,9616.465,-,-
1756257664000,9909.6035,-,-
1756257666000,10051.9105,-,-
1756257668000,10146.414,-,-
1756257670000,10183.947,-,-
1756257672000,10208.2755,-,-
1756257674000,10225.125,-,-
1756257676000,10233.4275,-,-
1756257678000,10233.8965,-,-
