timestamp,load1 (threads),load5 (threads),load15 (threads),anomaly%,annotations
1756257492000,0.14,0.1,0.17,-,-
1756257494000,0.14,0.1,0.17,-,-
1756257496000,0.138,0.1,0.17,-,-
1756257498000,0.134,0.1,0.17,-,-
1756257500000,0.13,0.1,0.17,-,-
1756257502000,0.126,0.1,0.17,-,-
1756257504000,0.122,0.1,0.17,-,-
1756257506000,0.118,0.1,0.17,-,-
1756257508000,0.114,0.1,0.17,-,-
1756257510000,0.11,0.1,0.17,-,-
1756257512000,0.106,0.1,0.17,-,-
1756257514000,0.102,0.1,0.17,-,-
1756257516000,0.098,0.1,0.17,-,-
1756257518000,0.094,0.1,0.17,-,-
1756257520000,0.09,0.1,0.17,-,-
1756257522000,0.086,0.096,0.17,-,-
1756257524000,0.082,0.092,0.17,-,-
1756257526000,0.078,0.09,0.168,-,-
1756257528000,0.074,0.09,0.164,-,-
1756257530000,0.07,0.09,0.16,-,-
1756257532000,0.07,0.09,0.16,-,-
1756257534000,0.07,0.09,0.16,-,-
1756257536000,0.07,0.09,0.16,-,-
1756257538000,0.07,0.09,0.16,-,-
1756257540000,0.07,0.09,0.16,-,-
1756257542000,0.066,0.086,0.16,-,-
1756257544000,0.062,0.082,0.16,-,-
1756257546000,0.0597895,0.08,0.16,-,-
1756257548000,0.0593685,0.08,0.16,-,-
1756257550000,0.0589475,0.08,0.16,-,-
1756257552000,0.0553685,0.08,0.16,-,-
1756257554000,0.0517895,0.08,0.16,-,-
1756257556000,0.05,0.08,0.16,-,-
1756257558000,0.05,0.08,0.16,-,-
1756257560000,0.05,0.08,0.16,-,-
1756257562000,0.046,0.08,0.16,-,-
1756257564000,0.042,0.08,0.16,-,-
1756257566000,0.04,0.08,0.16,-,-
1756257568000,0.04,0.08,0.16,-,-
1756257570000,0.04,0.08,0.16,-,-
1756257572000,0.04,0.08,0.16,-,-
1756257574000,0.04,0.08,0.16,-,-
1756257576000,0.038,0.08,0.16,-,-
1756257578000,0.034,0.08,0.16,-,-
1756257580000,0.03,0.08,0.16,-,-
1756257582000,0.03,0.076,0.156,-,-
1756257584000,0.03,0.072,0.152,-,-
1756257586000,0.03,0.07,0.15,-,-
1756257588000,0.03,0.07,0.15,-,-
1756257590000,0.03,0.07,0.15,-,-
1756257592000,0.026,0.07,0.15,-,-
1756257594000,0.022,0.07,0.15,-,-
1756257596000,0.02,0.07,0.15,-,-
1756257598000,0.02,0.07,0.15,-,-
1756257600000,0.02,0.07,0.15,-,-
1756257602000,0.052,0.074,0.154,-,-
1756257604000,0.084,0.078,0.158,-,-
1756257606000,0.13,0.088,0.162,-,-
1756257608000,0.19,0.104,0.166,-,-
1756257610000,0.25,0.12,0.17,-,-
1756257612000,0.274,0.124,0.17,-,-
1756257614000,0.298,0.128,0.17,-,-
1756257616000,0.322,0.134,0.172,-,-
1756257618000,0.346,0.142,0.176,-,-
1756257620000,0.37,0.15,0.18,-,-
1756257622000,0.39,0.154,0.18,-,-
1756257624000,0.41,0.158,0.18,-,-
1756257626000,0.428,0.162,0.182,-,-
1756257628000,0.444,0.166,0.186,-,-
1756257630000,0.46,0.17,0.19,-,-
1756257632000,0.48,0.178,0.19,-,-
1756257634000,0.5,0.186,0.19,-,-
1756257636000,0.502,0.19,0.19,-,-
1756257638000,0.486,0.19,0.19,-,-
1756257640000,0.47,0.19,0.19,-,-
1756257642000,0.454,0.186,0.19,-,-
1756257644000,0.438,0.182,0.19,-,-
1756257646000,0.422,0.18,0.19,-,-
1756257648000,0.406,0.18,0.19,-,-
1756257650000,0.39,0.18,0.19,-,-
1756257652000,0.378,0.18,0.186,-,-
1756257654000,0.366,0.18,0.182,-,-
1756257656000,0.37,0.182,0.182,-,-
1756257658000,0.39,0.186,0.186,-,-
1756257660000,0.41,0.19,0.19,-,-
1756257662000,1.282,0.378,0.25,-,-
1756257664000,2.154,0.566,0.31,-,-
1756257666000,2.676,0.684,0.348,-,-
1756257668000,2.848,0.732,0.364,-,-
1756257670000,3.02,0.78,0.38,-,-
1756257672000,3.043942,0.7868406,0.3825652,-,-
1756257674000,3.067884,0.7936811,0.3851304,-,-
1756257676000,3.179884,0.8256811,0.3971304,-,-
1756257678000,3.379942,0.8828406,0.4185652,-,-
1756257680000,3.58,0.94,0.44,-,-
1756257682000,3.724,0.984,0.456,-,-
1756257684000,3.868,1.028,0.472,-,-
1756257686000,4.068,1.088,0.492,-,-
1756257688000,4.324,1.164,0.516,-,-
1756257690000,4.58,1.24,0.54,-,-
1756257692000,5.172,1.384,0.588,-,-
1756257694000,5.764,1.528,0.636,-,-
1756257696000,6.392,1.698,0.694,-,-
1756257698000,7.056,1.894,0.762,-,-
1756257700000,7.72,2.09,0.83,-,-
1756257702000,7.984,2.182,0.862,-,-
1756257704000,8.248,2.274,0.894,-,-
1756257706000,8.63,2.392,0.936,-,-
1756257708000,9.13,2.536,0.988,-,-
1756257710000,9.63,2.68,1.04,-,-
