timestamp,free (mebibytes),used (mebibytes),cached (mebibytes),buffers (mebibytes),anomaly%,annotations
1756261804000,4986.5605,1024.7168,1660.55855,6.101562,-,-
1756261806000,4980.8125,1024.57615,1666.4434,6.1054685,-,-
1756261808000,4977.582,1023.97265,1670.27345,6.109375,-,-
1756261810000,4973.596,1024.707,1673.5254,6.109375,-,-
1756261812000,4971.4805,1022.957,1677.3827,6.117188,-,-
1756261814000,4968.129,1023.7422,1679.9495,6.117188,-,-
1756261816000,4966.094,1022.2578,1683.4645,6.121094,-,-
1756261818000,4963.266,1021.25585,1687.291,6.125,-,-
1756261820000,4959.162,1021.7715,1690.879,6.125,-,-
1756261822000,4955.0955,1021.6094,1695.0995,6.132812,-,-
1756261824000,4951.4375,1021.01175,1699.3555,6.132812,-,-
1756261826000,4946.3515,1022.38475,1703.0625,6.1386715,-,-
1756261828000,4944.129,1020.6875,1706.977,6.144531,-,-
1756261830000,4940.072,1020.78905,1710.932,6.144531,-,-
1756261832000,4935.1715,1021.4121,1715.201,6.152344,-,-
1756261834000,4931.2345,1021.22855,1719.1465,6.328125,-,-
1756261836000,4926.098,1020.89455,1724.617,6.328125,-,-
1756261838000,4920.783,1020.75,1730.068,6.335938,-,-
1756261840000,4918.2875,1020.0664,1733.248,6.335938,-,-
1756261842000,4914.738,1021.03515,1735.8245,6.339844,-,-
1756261844000,4738.191,1017.55275,1915.762,6.431641,-,-
1756261846000,4354.7595,1017.4766,2299.264,6.4375,-,-
1756261848000,4012.111,1020.50785,2638.85,6.46875,-,-
1756261850000,3768.1975,1021.92575,2881.303,6.511719,-,-
1756261852000,3456.602,1026.88475,3187.893,6.558594,-,-
1756261854000,4669.695,1017.043,1984.02,7.179688,-,-
1756261856000,4670.201,1016.1191,1984.438,7.179688,-,-
1756261858000,4671.154,1015.16605,1984.438,7.179688,-,-
1756261860000,4672.3025,1014.00975,1984.438,7.1875,-,-
1756261862000,4672.941,1013.3711,1984.438,7.1875,-,-
1756261864000,4674.496,1011.8164,1984.438,7.1875,-,-
1756261866000,4675.26,1011.0527,1984.438,7.1875,-,-
1756261868000,4675.211,1011.0996,1984.4395,7.1875,-,-
1756261870000,4675.0765,1011.2324,1984.441,7.1875,-,-
1756261872000,4678.0685,1008.24025,1984.441,7.1875,-,-
1756261874000,4680.8145,1005.49025,1984.4375,7.195312,-,-
1756261876000,4680.6875,1005.6133,1984.441,7.195312,-,-
1756261878000,4680.928,1005.31835,1984.496,7.195312,-,-
1756261880000,4680.7485,1005.49805,1984.496,7.195312,-,-
1756261882000,4679.5585,1006.6133,1984.531,7.234375,-,-
1756261884000,4680.6545,1005.51755,1984.531,7.234375,-,-
1756261886000,4680.084,1006.07425,1984.535,7.2441405,-,-
